,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.10091417,0.019097272,1.0,0.0,0.0,0.0,True,Vtn
Oligodendrocyte Precursor Cells,0.0137855075,0.011251321,0.894,0.106,0.106,0.053,False,Vtn
Neurons,0.010383172,0.01381162,0.77,0.23,0.23,0.112,False,Vtn
Astrocytes,0.007120789,0.016343433,0.687,0.313,0.313,0.16225,False,Vtn
Excitatory Neurons,0.005082253,0.012434689,0.654,0.346,0.346,0.199,False,Vtn
Medium Spiny Neurons,0.002494382,0.0095504215,0.619,0.381,0.381,0.2293333333333333,False,Vtn
Endocrine Cells,0.006638918,0.027805563,0.602,0.398,0.398,0.25342857142857145,False,Vtn
Endothelial Cells,-0.007815164,0.029929746,0.4,0.6,0.4,0.27175,False,Vtn
Neural Stem Cells,0.002517574,0.021536862,0.547,0.453,0.453,0.29188888888888886,False,Vtn
Microglia,-0.0006936168,0.018078178,0.472,0.528,0.472,0.30989999999999995,False,Vtn
GABAergic Neurons,-0.0009319956,0.019476308,0.502,0.498,0.498,0.32699999999999996,False,Vtn
Oligodendrocytes,-0.000289457,0.010362148,0.498,0.502,0.498,0.34125,False,Vtn
