,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocytes,0.044402067,0.008924437,1.0,0.0,0.0,0.0,True,Gstp1
Oligodendrocyte Precursor Cells,0.017859422,0.011482555,0.942,0.058,0.058,0.029,True,Gstp1
Myocytes,0.021689028,0.018887835,0.875,0.125,0.125,0.061,False,Gstp1
Neurons,0.013465456,0.013533817,0.833,0.167,0.167,0.0875,False,Gstp1
Excitatory Neurons,0.008235214,0.012653845,0.741,0.259,0.259,0.12179999999999999,False,Gstp1
Medium Spiny Neurons,0.005538877,0.009529251,0.727,0.273,0.273,0.147,False,Gstp1
Astrocytes,0.008729702,0.016395247,0.715,0.285,0.285,0.16671428571428573,False,Gstp1
Neural Stem Cells,0.011299975,0.021228444,0.701,0.299,0.299,0.18325,False,Gstp1
Endocrine Cells,0.011080216,0.027986243,0.658,0.342,0.342,0.2008888888888889,False,Gstp1
Endothelial Cells,-0.0050378265,0.030892054,0.441,0.559,0.441,0.22490000000000002,False,Gstp1
GABAergic Neurons,0.0010275993,0.019757174,0.537,0.463,0.463,0.24654545454545457,False,Gstp1
Microglia,0.0014829945,0.018180558,0.513,0.487,0.487,0.26658333333333334,False,Gstp1
