,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.012275638,0.011849217,0.845,0.155,0.155,0.155,False,Gm2a
Neurons,0.00944196,0.013668972,0.757,0.243,0.243,0.199,False,Gm2a
Microglia,0.0071286303,0.018510977,0.652,0.348,0.348,0.24866666666666667,False,Gm2a
Endothelial Cells,-0.011777337,0.030626934,0.354,0.646,0.354,0.275,False,Gm2a
Excitatory Neurons,0.0042864615,0.012558601,0.631,0.369,0.369,0.2938,False,Gm2a
Oligodendrocytes,0.0033260563,0.009985102,0.631,0.369,0.369,0.30633333333333335,False,Gm2a
Myocytes,0.0058861235,0.018782115,0.621,0.379,0.379,0.3167142857142857,False,Gm2a
Astrocytes,0.001897921,0.01670802,0.562,0.438,0.438,0.33187500000000003,False,Gm2a
Medium Spiny Neurons,0.00032802427,0.009546102,0.537,0.463,0.463,0.3464444444444445,False,Gm2a
Neural Stem Cells,0.00094646384,0.02118659,0.518,0.482,0.482,0.36000000000000004,False,Gm2a
GABAergic Neurons,-0.0014329674,0.019655628,0.494,0.506,0.494,0.3721818181818182,False,Gm2a
Endocrine Cells,-0.001015847,0.02808052,0.495,0.505,0.495,0.3824166666666667,False,Gm2a
