,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.085401,0.019082831,1.0,0.0,0.0,0.0,True,Gprc5b
Oligodendrocytes,-0.032100488,0.010111811,0.0,1.0,0.0,0.0,True,Gprc5b
Endocrine Cells,0.04063082,0.028197266,0.926,0.074,0.074,0.024666666666666667,True,Gprc5b
Oligodendrocyte Precursor Cells,0.011093984,0.01183761,0.823,0.177,0.177,0.06275,False,Gprc5b
Neural Stem Cells,-0.015557492,0.02029251,0.221,0.779,0.221,0.0944,False,Gprc5b
Neurons,0.010118708,0.013268861,0.775,0.225,0.225,0.11616666666666665,False,Gprc5b
Astrocytes,-0.011252196,0.01755006,0.264,0.736,0.264,0.1372857142857143,False,Gprc5b
Endothelial Cells,-0.013362664,0.030120274,0.33,0.67,0.33,0.161375,False,Gprc5b
Medium Spiny Neurons,0.0023295444,0.00950825,0.608,0.392,0.392,0.18699999999999997,False,Gprc5b
Excitatory Neurons,0.0027058884,0.012726495,0.583,0.417,0.417,0.20999999999999996,False,Gprc5b
Microglia,-0.0016896179,0.018464971,0.453,0.547,0.453,0.23209090909090904,False,Gprc5b
GABAergic Neurons,-0.0006689311,0.020172406,0.505,0.495,0.495,0.25399999999999995,False,Gprc5b
