,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.013290095,0.011233445,0.886,0.114,0.114,0.114,False,Vwf
Neurons,0.009584847,0.013821304,0.757,0.243,0.243,0.1785,False,Vwf
Excitatory Neurons,0.0048043802,0.012430004,0.65,0.35,0.35,0.23566666666666666,False,Vwf
Endocrine Cells,0.008550746,0.027804717,0.63,0.37,0.37,0.26925,False,Vwf
Astrocytes,0.0041597397,0.016227143,0.628,0.372,0.372,0.28979999999999995,False,Vwf
Endothelial Cells,-0.006904893,0.03057916,0.41,0.59,0.41,0.3098333333333333,False,Vwf
Myocytes,0.002983483,0.01870893,0.568,0.432,0.432,0.3272857142857143,False,Vwf
Neural Stem Cells,0.0032342495,0.021573694,0.565,0.435,0.435,0.34075,False,Vwf
Medium Spiny Neurons,0.0011150589,0.009552823,0.562,0.438,0.438,0.35155555555555557,False,Vwf
Microglia,-0.0014067043,0.01805825,0.461,0.539,0.461,0.3625,False,Vwf
Oligodendrocytes,-0.0005475214,0.010371209,0.488,0.512,0.488,0.37390909090909086,False,Vwf
GABAergic Neurons,-0.0012698385,0.019471744,0.496,0.504,0.496,0.38408333333333333,False,Vwf
