,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,-0.07437136,0.018836414,0.0,1.0,0.0,0.0,True,Maf
Oligodendrocyte Precursor Cells,0.0130978525,0.011371583,0.877,0.123,0.123,0.0615,False,Maf
Neurons,0.00943804,0.0138172945,0.757,0.243,0.243,0.122,False,Maf
Endocrine Cells,0.014015241,0.027810035,0.701,0.299,0.299,0.16625,False,Maf
Microglia,-0.008320856,0.018654115,0.336,0.664,0.336,0.20020000000000002,False,Maf
Neural Stem Cells,0.0068228487,0.021419996,0.63,0.37,0.37,0.2285,False,Maf
Astrocytes,0.00391416,0.016303197,0.622,0.378,0.378,0.24985714285714286,False,Maf
Excitatory Neurons,0.0038175078,0.012503534,0.616,0.384,0.384,0.266625,False,Maf
Endothelial Cells,-0.007116475,0.03087278,0.409,0.591,0.409,0.28244444444444444,False,Maf
GABAergic Neurons,-0.00444538,0.020071093,0.426,0.574,0.426,0.2968,False,Maf
Oligodendrocytes,-0.0014061437,0.010349191,0.462,0.538,0.462,0.3118181818181818,False,Maf
Medium Spiny Neurons,0.00031911375,0.0095828455,0.536,0.464,0.464,0.3245,False,Maf
