,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.054454107,0.018927619,0.998,0.002,0.002,0.002,True,Pfkl
Oligodendrocyte Precursor Cells,0.014532253,0.011484302,0.9,0.1,0.1,0.051000000000000004,False,Pfkl
Neurons,0.008820523,0.013597973,0.74,0.26,0.26,0.12066666666666666,False,Pfkl
Astrocytes,0.0050174785,0.016439449,0.643,0.357,0.357,0.17975,False,Pfkl
Excitatory Neurons,0.0040533994,0.012745715,0.618,0.382,0.382,0.2202,False,Pfkl
Endothelial Cells,-0.008293842,0.030826226,0.399,0.601,0.399,0.25,False,Pfkl
Neural Stem Cells,-0.004491713,0.021341013,0.408,0.592,0.408,0.2725714285714286,False,Pfkl
Oligodendrocytes,0.0013196479,0.010190582,0.566,0.434,0.434,0.29275,False,Pfkl
Endocrine Cells,0.002721666,0.027953645,0.541,0.459,0.459,0.31122222222222223,False,Pfkl
Medium Spiny Neurons,0.00025402973,0.009525207,0.533,0.467,0.467,0.32680000000000003,False,Pfkl
GABAergic Neurons,-0.0024263873,0.019779406,0.472,0.528,0.472,0.34,False,Pfkl
Microglia,0.0017553535,0.018244138,0.523,0.477,0.477,0.3514166666666667,False,Pfkl
