,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.010989217,0.011833523,0.82,0.18,0.18,0.18,False,Vxn
Neurons,0.010513664,0.013798608,0.775,0.225,0.225,0.2025,False,Vxn
Astrocytes,0.0042489506,0.016260674,0.631,0.369,0.369,0.258,False,Vxn
Myocytes,0.0053045703,0.018718077,0.605,0.395,0.395,0.29225,False,Vxn
Endothelial Cells,-0.0073477696,0.031013401,0.408,0.592,0.408,0.3154,False,Vxn
Neural Stem Cells,0.004386139,0.021524461,0.585,0.415,0.415,0.332,False,Vxn
Endocrine Cells,0.0050000492,0.02771958,0.575,0.425,0.425,0.34528571428571425,False,Vxn
Microglia,-0.002878318,0.018136937,0.427,0.573,0.427,0.3555,False,Vxn
Oligodendrocytes,-0.0014748189,0.010278442,0.458,0.542,0.458,0.3668888888888889,False,Vxn
Excitatory Neurons,-0.0013719621,0.013118945,0.462,0.538,0.462,0.3764,False,Vxn
Medium Spiny Neurons,-2.8444601e-05,0.009583775,0.516,0.484,0.484,0.3861818181818182,False,Vxn
GABAergic Neurons,-0.0015146397,0.019607961,0.492,0.508,0.492,0.395,False,Vxn
