,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.013731432,0.011437019,0.888,0.112,0.112,0.112,False,Plod1
Neurons,0.009824848,0.013793622,0.762,0.238,0.238,0.175,False,Plod1
Myocytes,-0.008631371,0.018770104,0.322,0.678,0.322,0.22399999999999998,False,Plod1
Excitatory Neurons,0.004966688,0.012439225,0.654,0.346,0.346,0.25449999999999995,False,Plod1
Medium Spiny Neurons,0.002412298,0.009550179,0.614,0.386,0.386,0.2808,False,Plod1
Endocrine Cells,0.0061705876,0.02784072,0.596,0.404,0.404,0.3013333333333333,False,Plod1
Endothelial Cells,-0.0070219343,0.030911557,0.41,0.59,0.41,0.31685714285714284,False,Plod1
Oligodendrocytes,-0.0027263446,0.010137785,0.415,0.585,0.415,0.329125,False,Plod1
Astrocytes,0.0025438971,0.016391896,0.582,0.418,0.418,0.339,False,Plod1
Microglia,-0.003573418,0.018266253,0.419,0.581,0.419,0.34700000000000003,False,Plod1
Neural Stem Cells,0.0027362749,0.021482866,0.553,0.447,0.447,0.3560909090909091,False,Plod1
GABAergic Neurons,-0.00084482593,0.01949833,0.503,0.497,0.497,0.3678333333333334,False,Plod1
