,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.049056135,0.019052578,0.995,0.005,0.005,0.005,True,Plpp3
Astrocytes,-0.028198462,0.018364403,0.047,0.953,0.047,0.026,True,Plpp3
Neural Stem Cells,-0.035534043,0.020677164,0.049,0.951,0.049,0.03366666666666667,True,Plpp3
Oligodendrocyte Precursor Cells,0.018992204,0.011833286,0.948,0.052,0.052,0.03825,True,Plpp3
Endocrine Cells,0.039879248,0.028223807,0.92,0.08,0.08,0.046599999999999996,True,Plpp3
Medium Spiny Neurons,0.012622686,0.009500084,0.912,0.088,0.088,0.05349999999999999,False,Plpp3
Neurons,0.015497746,0.013449072,0.875,0.125,0.125,0.06371428571428571,False,Plpp3
Excitatory Neurons,0.007657219,0.012669538,0.728,0.272,0.272,0.08975,False,Plpp3
Oligodendrocytes,0.0029219026,0.009782706,0.622,0.378,0.378,0.12177777777777779,False,Plpp3
Endothelial Cells,-0.008946579,0.030241486,0.393,0.607,0.393,0.1489,False,Plpp3
Microglia,-0.0026774546,0.018395388,0.432,0.568,0.432,0.17463636363636365,False,Plpp3
GABAergic Neurons,0.0005202069,0.01983795,0.527,0.473,0.473,0.1995,False,Plpp3
