,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.01298061,0.011307381,0.877,0.123,0.123,0.123,False,Cxcl12
Endothelial Cells,-0.031706665,0.030016795,0.152,0.848,0.152,0.1375,False,Cxcl12
Neurons,0.009370711,0.013794728,0.755,0.245,0.245,0.17333333333333334,False,Cxcl12
Myocytes,-0.0085894205,0.018848985,0.325,0.675,0.325,0.21125,False,Cxcl12
Excitatory Neurons,0.0048440685,0.012469206,0.651,0.349,0.349,0.23879999999999998,False,Cxcl12
Astrocytes,0.003986939,0.016265977,0.625,0.375,0.375,0.2615,False,Cxcl12
Endocrine Cells,0.006741595,0.027880885,0.604,0.396,0.396,0.2807142857142857,False,Cxcl12
Microglia,-0.0013681662,0.018082375,0.462,0.538,0.462,0.303375,False,Cxcl12
Oligodendrocytes,-0.0011325497,0.0103433095,0.469,0.531,0.469,0.3217777777777778,False,Cxcl12
Medium Spiny Neurons,0.00016573443,0.009532055,0.527,0.473,0.473,0.3369,False,Cxcl12
Neural Stem Cells,0.0008238124,0.021505013,0.514,0.486,0.486,0.3504545454545454,False,Cxcl12
GABAergic Neurons,-0.0011294052,0.019500967,0.499,0.501,0.499,0.3628333333333333,False,Cxcl12
