,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.013178705,0.011260987,0.883,0.117,0.117,0.117,False,Eng
Myocytes,0.018212093,0.018855639,0.827,0.173,0.173,0.145,False,Eng
Neurons,0.009641557,0.013812972,0.758,0.242,0.242,0.17733333333333334,False,Eng
Endothelial Cells,-0.013860967,0.030363277,0.321,0.679,0.321,0.21325,False,Eng
Endocrine Cells,0.010459445,0.02792128,0.652,0.348,0.348,0.24020000000000002,False,Eng
Excitatory Neurons,0.004803205,0.012436986,0.65,0.35,0.35,0.2585,False,Eng
Astrocytes,0.004214388,0.016219804,0.63,0.37,0.37,0.27442857142857147,False,Eng
Neural Stem Cells,0.0048105125,0.021558665,0.594,0.406,0.406,0.29087500000000005,False,Eng
Medium Spiny Neurons,0.0018248128,0.009543583,0.591,0.409,0.409,0.30400000000000005,False,Eng
Microglia,-0.0032507621,0.018140504,0.422,0.578,0.422,0.3158,False,Eng
Oligodendrocytes,-0.0007844124,0.010362003,0.48,0.52,0.48,0.33072727272727276,False,Eng
GABAergic Neurons,-0.0011929058,0.01947884,0.498,0.502,0.498,0.3446666666666667,False,Eng
