,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Endocrine Cells,0.05064652,0.028205164,0.96,0.04,0.04,0.04,True,Dusp6
Oligodendrocyte Precursor Cells,0.010824531,0.011732019,0.819,0.181,0.181,0.1105,False,Dusp6
Neurons,0.010217302,0.013669314,0.77,0.23,0.23,0.15033333333333335,False,Dusp6
Excitatory Neurons,0.0081214085,0.0128635345,0.738,0.262,0.262,0.17825000000000002,False,Dusp6
Microglia,0.008756241,0.019298144,0.679,0.321,0.321,0.2068,False,Dusp6
Astrocytes,0.0056295637,0.016481133,0.649,0.351,0.351,0.23083333333333333,False,Dusp6
Neural Stem Cells,0.007951074,0.021431262,0.645,0.355,0.355,0.24857142857142858,False,Dusp6
Oligodendrocytes,0.002231781,0.01027561,0.591,0.409,0.409,0.268625,False,Dusp6
Myocytes,-0.0040198574,0.01872841,0.422,0.578,0.422,0.2856666666666667,False,Dusp6
Endothelial Cells,-0.005728658,0.030722909,0.429,0.571,0.429,0.3,False,Dusp6
Medium Spiny Neurons,0.00054699933,0.009493341,0.548,0.452,0.452,0.31381818181818183,False,Dusp6
GABAergic Neurons,-4.946629e-05,0.019687619,0.516,0.484,0.484,0.328,False,Dusp6
