,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.019283623,0.011894006,0.952,0.048,0.048,0.048,True,Sh3bp4
Neurons,0.008520337,0.01362763,0.732,0.268,0.268,0.158,False,Sh3bp4
Neural Stem Cells,0.011657739,0.02116859,0.707,0.293,0.293,0.20299999999999999,False,Sh3bp4
Endocrine Cells,0.012316202,0.027968133,0.681,0.319,0.319,0.23199999999999998,False,Sh3bp4
Astrocytes,0.0047647627,0.01630142,0.639,0.361,0.361,0.2578,False,Sh3bp4
Excitatory Neurons,0.0042590154,0.012549518,0.63,0.37,0.37,0.27649999999999997,False,Sh3bp4
Endothelial Cells,-0.009935609,0.030643018,0.382,0.618,0.382,0.29157142857142854,False,Sh3bp4
Medium Spiny Neurons,0.0016223259,0.00952084,0.585,0.415,0.415,0.307,False,Sh3bp4
Myocytes,0.0018696456,0.018743405,0.552,0.448,0.448,0.32266666666666666,False,Sh3bp4
Oligodendrocytes,-0.0012722652,0.010261357,0.466,0.534,0.466,0.337,False,Sh3bp4
Microglia,-0.000717945,0.018111773,0.47,0.53,0.47,0.34909090909090906,False,Sh3bp4
GABAergic Neurons,-0.001349229,0.019569015,0.496,0.504,0.496,0.36133333333333334,False,Sh3bp4
