,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.019017957,0.011685431,0.952,0.048,0.048,0.048,True,Vegfa
Myocytes,0.02354055,0.018994251,0.89,0.11,0.11,0.079,False,Vegfa
Oligodendrocytes,0.008111674,0.010214427,0.788,0.212,0.212,0.12333333333333334,False,Vegfa
Neurons,0.010346167,0.013744493,0.77,0.23,0.23,0.15,False,Vegfa
Neural Stem Cells,0.0153969275,0.021234913,0.76,0.24,0.24,0.16799999999999998,False,Vegfa
Medium Spiny Neurons,0.0035272695,0.009564842,0.653,0.347,0.347,0.1978333333333333,False,Vegfa
Excitatory Neurons,0.004833086,0.012493197,0.651,0.349,0.349,0.2194285714285714,False,Vegfa
Endocrine Cells,0.0069746654,0.027825817,0.605,0.395,0.395,0.24137499999999998,False,Vegfa
Endothelial Cells,-0.008478178,0.031016737,0.398,0.602,0.398,0.2587777777777778,False,Vegfa
Astrocytes,-0.0037398115,0.016732158,0.426,0.574,0.426,0.27549999999999997,False,Vegfa
Microglia,3.6236408e-05,0.018096985,0.488,0.512,0.488,0.2948181818181818,False,Vegfa
GABAergic Neurons,-0.000886184,0.019623697,0.502,0.498,0.498,0.31174999999999997,False,Vegfa
