,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.013631304,0.011225609,0.89,0.11,0.11,0.11,False,Tmem173
Neurons,0.009432804,0.013819188,0.757,0.243,0.243,0.1765,False,Tmem173
Microglia,-0.0107490495,0.018307848,0.285,0.715,0.285,0.21266666666666664,False,Tmem173
Excitatory Neurons,0.004812571,0.012433567,0.651,0.349,0.349,0.24674999999999997,False,Tmem173
Astrocytes,0.004110875,0.016203117,0.628,0.372,0.372,0.2718,False,Tmem173
Myocytes,0.0047958456,0.018709345,0.601,0.399,0.399,0.293,False,Tmem173
Endothelial Cells,-0.008244424,0.031076243,0.4,0.6,0.4,0.3082857142857143,False,Tmem173
Neural Stem Cells,0.0046396013,0.021568391,0.593,0.407,0.407,0.320625,False,Tmem173
Endocrine Cells,0.005610401,0.027781753,0.588,0.412,0.412,0.3307777777777778,False,Tmem173
Medium Spiny Neurons,0.0007972359,0.009552621,0.555,0.445,0.445,0.34219999999999995,False,Tmem173
Oligodendrocytes,-0.0008123489,0.010366557,0.479,0.521,0.479,0.35463636363636364,False,Tmem173
GABAergic Neurons,-0.0012725125,0.019472308,0.496,0.504,0.496,0.36641666666666667,False,Tmem173
