,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.013303517,0.011516464,0.877,0.123,0.123,0.123,False,Tjp1
Neurons,0.010746611,0.013738836,0.781,0.219,0.219,0.17099999999999999,False,Tjp1
Endocrine Cells,0.010967788,0.028006785,0.657,0.343,0.343,0.22833333333333336,False,Tjp1
Excitatory Neurons,0.005032184,0.012532271,0.654,0.346,0.346,0.25775000000000003,False,Tjp1
Medium Spiny Neurons,0.0035186112,0.009525382,0.653,0.347,0.347,0.2756,False,Tjp1
Astrocytes,0.0046429555,0.016478747,0.637,0.363,0.363,0.2901666666666667,False,Tjp1
Neural Stem Cells,0.0048156315,0.021315401,0.594,0.406,0.406,0.3067142857142858,False,Tjp1
Microglia,-0.0028012784,0.01821771,0.429,0.571,0.429,0.322,False,Tjp1
Myocytes,-0.0038619072,0.018769601,0.429,0.571,0.429,0.3338888888888889,False,Tjp1
Endothelial Cells,-0.004718219,0.030452196,0.445,0.555,0.445,0.345,False,Tjp1
Oligodendrocytes,-0.001800564,0.010132242,0.447,0.553,0.447,0.35427272727272724,False,Tjp1
GABAergic Neurons,-0.00085512403,0.019599434,0.503,0.497,0.497,0.3661666666666667,False,Tjp1
