,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.012815283,0.011436045,0.872,0.128,0.128,0.128,False,Tcf7l2
Endocrine Cells,0.011141698,0.027856877,0.661,0.339,0.339,0.2335,False,Tcf7l2
Excitatory Neurons,0.0049166004,0.012444785,0.653,0.347,0.347,0.27133333333333337,False,Tcf7l2
Astrocytes,0.005205871,0.016456416,0.645,0.355,0.355,0.29225,False,Tcf7l2
Neurons,0.004262917,0.013346037,0.638,0.362,0.362,0.3062,False,Tcf7l2
Endothelial Cells,-0.0077031874,0.030960208,0.403,0.597,0.403,0.32233333333333336,False,Tcf7l2
Myocytes,0.004682751,0.018727187,0.596,0.404,0.404,0.334,False,Tcf7l2
Neural Stem Cells,-0.0034003812,0.021418294,0.425,0.575,0.425,0.345375,False,Tcf7l2
Medium Spiny Neurons,0.00087124587,0.009588613,0.557,0.443,0.443,0.3562222222222222,False,Tcf7l2
Microglia,-0.00028864085,0.01815086,0.484,0.516,0.484,0.369,False,Tcf7l2
Oligodendrocytes,-3.6137684e-05,0.010253836,0.51,0.49,0.49,0.37999999999999995,False,Tcf7l2
GABAergic Neurons,-0.0010422971,0.019486574,0.5,0.5,0.5,0.38999999999999996,False,Tcf7l2
