,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Endocrine Cells,-1.5259645,0.02888352,0.0,1.0,0.0,0.0,True,Gh
Myocytes,-0.6672764,0.019236844,0.0,1.0,0.0,0.0,True,Gh
Neural Stem Cells,-0.024516033,0.021527275,0.13,0.87,0.13,0.043333333333333335,True,Gh
Endothelial Cells,-0.029325556,0.031080225,0.174,0.826,0.174,0.076,False,Gh
Oligodendrocyte Precursor Cells,0.008022749,0.011236551,0.759,0.241,0.241,0.10899999999999999,False,Gh
Astrocytes,-0.007378314,0.01618288,0.327,0.673,0.327,0.14533333333333331,False,Gh
Oligodendrocytes,-0.004381609,0.010359864,0.359,0.641,0.359,0.17585714285714285,False,Gh
Medium Spiny Neurons,0.0026057728,0.009604036,0.623,0.377,0.377,0.20099999999999998,False,Gh
Microglia,-0.004757145,0.018038994,0.386,0.614,0.386,0.22155555555555553,False,Gh
Excitatory Neurons,0.0029482674,0.012442181,0.59,0.41,0.41,0.2404,False,Gh
Neurons,-0.0029741207,0.013837142,0.415,0.585,0.415,0.25627272727272726,False,Gh
GABAergic Neurons,-0.003133846,0.019473186,0.452,0.548,0.452,0.27258333333333334,False,Gh
