,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,-0.034170046,0.018797234,0.039,0.961,0.039,0.039,True,Tfrc
Oligodendrocyte Precursor Cells,0.012071946,0.011449791,0.849,0.151,0.151,0.095,False,Tfrc
Endothelial Cells,-0.015501081,0.030408897,0.304,0.696,0.304,0.16466666666666666,False,Tfrc
Neurons,0.0068193823,0.013575578,0.695,0.305,0.305,0.19974999999999998,False,Tfrc
Neural Stem Cells,-0.004648752,0.021413382,0.407,0.593,0.407,0.2412,False,Tfrc
Astrocytes,0.0018536517,0.016417008,0.562,0.438,0.438,0.27399999999999997,False,Tfrc
Excitatory Neurons,0.0016508366,0.0126893595,0.553,0.447,0.447,0.29871428571428565,False,Tfrc
Microglia,-0.0019848363,0.018132003,0.448,0.552,0.448,0.31737499999999996,False,Tfrc
GABAergic Neurons,-0.0031684176,0.019846896,0.452,0.548,0.452,0.3323333333333333,False,Tfrc
Endocrine Cells,-0.0034685421,0.027764276,0.455,0.545,0.455,0.34459999999999996,False,Tfrc
Medium Spiny Neurons,-0.0002156707,0.009539349,0.512,0.488,0.488,0.3576363636363636,False,Tfrc
Oligodendrocytes,-0.0002861694,0.010218943,0.498,0.502,0.498,0.3693333333333333,False,Tfrc
