,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocytes,0.017145786,0.0090568205,0.97,0.03,0.03,0.03,True,Olig2
Oligodendrocyte Precursor Cells,-0.009357842,0.011961127,0.201,0.799,0.201,0.1155,False,Olig2
Neurons,0.010271515,0.01379832,0.77,0.23,0.23,0.15366666666666667,False,Olig2
Neural Stem Cells,0.015348628,0.021349577,0.76,0.24,0.24,0.17525000000000002,False,Olig2
Excitatory Neurons,0.004971183,0.012451491,0.654,0.346,0.346,0.20940000000000003,False,Olig2
Myocytes,0.0064687203,0.018727036,0.632,0.368,0.368,0.23583333333333334,False,Olig2
Endothelial Cells,-0.008248995,0.031035393,0.399,0.601,0.399,0.2591428571428572,False,Olig2
Endocrine Cells,0.0027945058,0.0277168,0.541,0.459,0.459,0.284125,False,Olig2
Medium Spiny Neurons,0.0003882077,0.009584974,0.541,0.459,0.459,0.3035555555555556,False,Olig2
Astrocytes,0.00066034164,0.01631973,0.54,0.46,0.46,0.31920000000000004,False,Olig2
Microglia,-0.0011137689,0.018094944,0.466,0.534,0.466,0.3325454545454546,False,Olig2
GABAergic Neurons,-0.0006237201,0.01950625,0.505,0.495,0.495,0.34608333333333335,False,Olig2
