,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,-0.034769792,0.018840896,0.036,0.964,0.036,0.036,True,Lamb2
Oligodendrocyte Precursor Cells,0.012713446,0.011273187,0.873,0.127,0.127,0.0815,False,Lamb2
Endocrine Cells,0.031187186,0.028088799,0.86,0.14,0.14,0.10100000000000002,False,Lamb2
Neurons,0.009875055,0.013795031,0.763,0.237,0.237,0.135,False,Lamb2
Neural Stem Cells,-0.009212736,0.02128321,0.323,0.677,0.323,0.1726,False,Lamb2
Excitatory Neurons,0.004866656,0.012442173,0.653,0.347,0.347,0.20166666666666666,False,Lamb2
Medium Spiny Neurons,0.0030619581,0.009548422,0.641,0.359,0.359,0.22414285714285714,False,Lamb2
Astrocytes,0.00408025,0.016462523,0.626,0.374,0.374,0.242875,False,Lamb2
Endothelial Cells,-0.008683031,0.030335035,0.395,0.605,0.395,0.2597777777777778,False,Lamb2
Microglia,-0.0007646997,0.018107539,0.47,0.53,0.47,0.2808,False,Lamb2
Oligodendrocytes,-0.000327372,0.010345621,0.496,0.504,0.496,0.30036363636363633,False,Lamb2
GABAergic Neurons,-0.0011368206,0.019488148,0.499,0.501,0.499,0.3169166666666667,False,Lamb2
