,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Endocrine Cells,0.04398566,0.028388755,0.94,0.06,0.06,0.06,False,Rhoc
Oligodendrocyte Precursor Cells,0.0100378,0.011677845,0.804,0.196,0.196,0.128,False,Rhoc
Neurons,0.009744287,0.013787023,0.761,0.239,0.239,0.165,False,Rhoc
Excitatory Neurons,0.0049825716,0.012471667,0.654,0.346,0.346,0.21025,False,Rhoc
Myocytes,0.0077276886,0.018838556,0.654,0.346,0.346,0.23739999999999997,False,Rhoc
Astrocytes,0.004366839,0.01637839,0.632,0.368,0.368,0.2591666666666666,False,Rhoc
Oligodendrocytes,0.0028394174,0.0101809,0.614,0.386,0.386,0.27728571428571425,False,Rhoc
Microglia,0.004818777,0.018205618,0.607,0.393,0.393,0.29174999999999995,False,Rhoc
Endothelial Cells,-0.004164338,0.03053044,0.453,0.547,0.453,0.3096666666666666,False,Rhoc
Medium Spiny Neurons,0.0004566224,0.0095728515,0.542,0.458,0.458,0.32449999999999996,False,Rhoc
Neural Stem Cells,0.0014496668,0.02131164,0.528,0.472,0.472,0.3379090909090909,False,Rhoc
GABAergic Neurons,-0.0012972096,0.019504707,0.496,0.504,0.496,0.35108333333333325,False,Rhoc
