,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.014704809,0.011520345,0.9,0.1,0.1,0.1,False,Ctss
Myocytes,0.018212792,0.018840857,0.827,0.173,0.173,0.1365,False,Ctss
Neurons,0.013170814,0.013697327,0.826,0.174,0.174,0.149,False,Ctss
Endocrine Cells,0.012939989,0.02795377,0.688,0.312,0.312,0.18975,False,Ctss
Astrocytes,0.00706357,0.016505923,0.681,0.319,0.319,0.2156,False,Ctss
Endothelial Cells,-0.013261058,0.030695187,0.335,0.665,0.335,0.23550000000000001,False,Ctss
Microglia,0.011936236,0.028326798,0.663,0.337,0.337,0.25,False,Ctss
Excitatory Neurons,0.0034912168,0.0125284195,0.605,0.395,0.395,0.268125,False,Ctss
Medium Spiny Neurons,0.002021361,0.009527149,0.598,0.402,0.402,0.28300000000000003,False,Ctss
Neural Stem Cells,0.004818997,0.021238035,0.594,0.406,0.406,0.2953,False,Ctss
Oligodendrocytes,-0.0010603056,0.010048619,0.473,0.527,0.473,0.3114545454545455,False,Ctss
GABAergic Neurons,-0.0012966282,0.019615985,0.496,0.504,0.496,0.32683333333333336,False,Ctss
