,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.045982555,0.01886939,0.991,0.009,0.009,0.009,True,Efnb3
Oligodendrocyte Precursor Cells,0.014554939,0.011382682,0.901,0.099,0.099,0.054,False,Efnb3
Oligodendrocytes,-0.009238944,0.009026963,0.14,0.86,0.14,0.08266666666666667,False,Efnb3
Neurons,0.009766269,0.013625562,0.763,0.237,0.237,0.12125,False,Efnb3
Neural Stem Cells,0.0085776225,0.021388283,0.652,0.348,0.348,0.1666,False,Efnb3
Excitatory Neurons,0.0048334217,0.012502767,0.65,0.35,0.35,0.19716666666666663,False,Efnb3
Astrocytes,0.0054544318,0.016269717,0.649,0.351,0.351,0.2191428571428571,False,Efnb3
Medium Spiny Neurons,0.003266716,0.009538976,0.644,0.356,0.356,0.23624999999999996,False,Efnb3
Endocrine Cells,0.008662254,0.027734883,0.632,0.368,0.368,0.25088888888888883,False,Efnb3
Endothelial Cells,-0.0070201284,0.031028742,0.41,0.59,0.41,0.2668,False,Efnb3
GABAergic Neurons,0.00039213538,0.019697597,0.525,0.475,0.475,0.2857272727272727,False,Efnb3
Microglia,-0.00037494648,0.018100351,0.481,0.519,0.481,0.302,False,Efnb3
