,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.013448692,0.011255668,0.886,0.114,0.114,0.114,False,Tek
Neurons,0.009660236,0.013815614,0.758,0.242,0.242,0.178,False,Tek
Endothelial Cells,-0.020725802,0.030566122,0.254,0.746,0.254,0.20333333333333334,False,Tek
Myocytes,-0.007795792,0.018748377,0.336,0.664,0.336,0.2365,False,Tek
Excitatory Neurons,0.004869244,0.01243291,0.653,0.347,0.347,0.2586,False,Tek
Endocrine Cells,0.010471384,0.027881281,0.652,0.348,0.348,0.2735,False,Tek
Astrocytes,0.0041753273,0.016210223,0.629,0.371,0.371,0.2874285714285714,False,Tek
Neural Stem Cells,0.0037690045,0.021567151,0.575,0.425,0.425,0.304625,False,Tek
Medium Spiny Neurons,0.0008042732,0.009547703,0.555,0.445,0.445,0.3202222222222222,False,Tek
Microglia,-0.001675991,0.01806274,0.453,0.547,0.453,0.33349999999999996,False,Tek
Oligodendrocytes,-0.0007416908,0.010362522,0.482,0.518,0.482,0.3469999999999999,False,Tek
GABAergic Neurons,-0.0013743516,0.019475274,0.496,0.504,0.496,0.35941666666666655,False,Tek
