,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Endocrine Cells,-0.046980813,0.027773507,0.043,0.957,0.043,0.043,True,Peg10
Oligodendrocyte Precursor Cells,0.016126588,0.011407811,0.921,0.079,0.079,0.061,False,Peg10
Neurons,0.010382671,0.013452808,0.778,0.222,0.222,0.11466666666666665,False,Peg10
Oligodendrocytes,0.004484199,0.010228742,0.671,0.329,0.329,0.16825,False,Peg10
Myocytes,0.008097674,0.018743725,0.667,0.333,0.333,0.2012,False,Peg10
Excitatory Neurons,0.0052083866,0.012474751,0.655,0.345,0.345,0.22516666666666665,False,Peg10
Astrocytes,0.00475171,0.016275644,0.639,0.361,0.361,0.24457142857142858,False,Peg10
Endothelial Cells,-0.00738294,0.031044668,0.407,0.593,0.407,0.26487499999999997,False,Peg10
GABAergic Neurons,-0.0050923536,0.01966173,0.41,0.59,0.41,0.28099999999999997,False,Peg10
Neural Stem Cells,-0.0040689902,0.02134003,0.415,0.585,0.415,0.2944,False,Peg10
Medium Spiny Neurons,0.0006099888,0.009568861,0.548,0.452,0.452,0.30872727272727274,False,Peg10
Microglia,-0.0003089411,0.018113114,0.483,0.517,0.483,0.32325,False,Peg10
