,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.012500134,0.011308115,0.866,0.134,0.134,0.134,False,Mylk
Myocytes,-0.018256912,0.018764967,0.179,0.821,0.179,0.1565,False,Mylk
Endocrine Cells,0.021098483,0.02805477,0.774,0.226,0.226,0.17966666666666667,False,Mylk
Neurons,0.009970381,0.013753861,0.766,0.234,0.234,0.19325,False,Mylk
Astrocytes,0.0041213804,0.01629446,0.628,0.372,0.372,0.229,False,Mylk
Excitatory Neurons,0.0035274122,0.0124898795,0.605,0.395,0.395,0.25666666666666665,False,Mylk
Endothelial Cells,-0.007522426,0.03026493,0.404,0.596,0.404,0.2777142857142857,False,Mylk
Microglia,-0.0024157304,0.018080741,0.434,0.566,0.434,0.29725,False,Mylk
Medium Spiny Neurons,0.001191331,0.0095501905,0.564,0.436,0.436,0.31266666666666665,False,Mylk
Neural Stem Cells,0.0031335833,0.021525173,0.562,0.438,0.438,0.32520000000000004,False,Mylk
Oligodendrocytes,-0.0019075779,0.010310729,0.446,0.554,0.446,0.3361818181818182,False,Mylk
GABAergic Neurons,-0.0011224556,0.019552257,0.499,0.501,0.499,0.34975,False,Mylk
