,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.014603752,0.011381412,0.901,0.099,0.099,0.099,False,Cemip2
Neural Stem Cells,0.024524124,0.020814324,0.874,0.126,0.126,0.1125,False,Cemip2
Neurons,0.009702605,0.013693266,0.761,0.239,0.239,0.15466666666666665,False,Cemip2
Myocytes,0.0076453425,0.018842043,0.653,0.347,0.347,0.20274999999999999,False,Cemip2
Astrocytes,0.004292991,0.016313115,0.632,0.368,0.368,0.23579999999999995,False,Cemip2
Excitatory Neurons,0.0041258014,0.012533959,0.626,0.374,0.374,0.2588333333333333,False,Cemip2
Endocrine Cells,0.0068257116,0.028102454,0.604,0.396,0.396,0.2784285714285714,False,Cemip2
Medium Spiny Neurons,0.0016533234,0.009533546,0.586,0.414,0.414,0.295375,False,Cemip2
Endothelial Cells,-0.0065338872,0.030780656,0.417,0.583,0.417,0.3088888888888889,False,Cemip2
Oligodendrocytes,0.00071577425,0.010322916,0.532,0.468,0.468,0.3248,False,Cemip2
Microglia,-0.0007710714,0.018092586,0.47,0.53,0.47,0.338,False,Cemip2
GABAergic Neurons,-0.000874052,0.019634278,0.503,0.497,0.497,0.35125,False,Cemip2
