,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.013960642,0.0112916585,0.895,0.105,0.105,0.105,False,Mtf1
Neurons,0.009384388,0.013791453,0.755,0.245,0.245,0.175,False,Mtf1
Excitatory Neurons,0.0047916784,0.0124949785,0.65,0.35,0.35,0.2333333333333333,False,Mtf1
Astrocytes,0.0042290064,0.016247554,0.631,0.369,0.369,0.26725,False,Mtf1
Endothelial Cells,-0.007428641,0.031032188,0.407,0.593,0.407,0.2952,False,Mtf1
Oligodendrocytes,-0.0021788795,0.0102580795,0.437,0.563,0.437,0.31883333333333336,False,Mtf1
Myocytes,0.001968877,0.01871783,0.552,0.448,0.448,0.3372857142857143,False,Mtf1
Neural Stem Cells,0.0026531792,0.021490188,0.552,0.448,0.448,0.351125,False,Mtf1
Microglia,-0.0015305069,0.01808335,0.457,0.543,0.457,0.36288888888888887,False,Mtf1
Medium Spiny Neurons,0.00029115274,0.009568213,0.535,0.465,0.465,0.3731,False,Mtf1
Endocrine Cells,-0.0016325573,0.027780341,0.485,0.515,0.485,0.38327272727272726,False,Mtf1
GABAergic Neurons,-0.0014670053,0.019546624,0.493,0.507,0.493,0.3924166666666667,False,Mtf1
