,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.039131325,0.018935725,0.986,0.014,0.014,0.014,True,Cabp1
Oligodendrocyte Precursor Cells,0.015647186,0.011739641,0.907,0.093,0.093,0.0535,False,Cabp1
Neurons,0.011035233,0.013347155,0.795,0.205,0.205,0.104,False,Cabp1
Medium Spiny Neurons,-0.006118956,0.009502913,0.269,0.731,0.269,0.14525,False,Cabp1
Endocrine Cells,0.015690355,0.027920267,0.723,0.277,0.277,0.1716,False,Cabp1
Astrocytes,0.0055199354,0.016480356,0.649,0.351,0.351,0.2015,False,Cabp1
Neural Stem Cells,0.0071106283,0.021450123,0.635,0.365,0.365,0.22485714285714287,False,Cabp1
Microglia,-0.0056316657,0.018371109,0.373,0.627,0.373,0.243375,False,Cabp1
Endothelial Cells,-0.007726178,0.030757695,0.402,0.598,0.402,0.261,False,Cabp1
Excitatory Neurons,-0.0027129771,0.01454803,0.42,0.58,0.42,0.27690000000000003,False,Cabp1
Oligodendrocytes,-0.0025073332,0.010090355,0.425,0.575,0.425,0.2903636363636364,False,Cabp1
GABAergic Neurons,0.0012519236,0.021135394,0.541,0.459,0.459,0.30441666666666667,False,Cabp1
