,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.01370316,0.011287064,0.89,0.11,0.11,0.11,False,Fn1
Neurons,0.010021945,0.013812104,0.766,0.234,0.234,0.17200000000000001,False,Fn1
Myocytes,0.014327872,0.018825334,0.761,0.239,0.239,0.19433333333333333,False,Fn1
Excitatory Neurons,0.004865988,0.012437585,0.653,0.347,0.347,0.23249999999999998,False,Fn1
Astrocytes,0.004768279,0.016276548,0.639,0.361,0.361,0.2582,False,Fn1
Endocrine Cells,0.008811729,0.027821649,0.634,0.366,0.366,0.27616666666666667,False,Fn1
Medium Spiny Neurons,0.001631256,0.009549373,0.585,0.415,0.415,0.296,False,Fn1
Neural Stem Cells,0.0037702364,0.021545857,0.575,0.425,0.425,0.312125,False,Fn1
Endothelial Cells,-0.0045256955,0.030175403,0.446,0.554,0.446,0.327,False,Fn1
Microglia,-0.0015790749,0.01807025,0.454,0.546,0.454,0.3397,False,Fn1
Oligodendrocytes,-0.00047082154,0.010358487,0.491,0.509,0.491,0.35345454545454547,False,Fn1
GABAergic Neurons,-0.0011374262,0.019480836,0.499,0.501,0.499,0.36558333333333337,False,Fn1
