,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.0142005,0.011370124,0.897,0.103,0.103,0.103,False,Cpt1a
Neurons,0.009322513,0.013823042,0.753,0.247,0.247,0.175,False,Cpt1a
Excitatory Neurons,0.004705052,0.012451291,0.647,0.353,0.353,0.2343333333333333,False,Cpt1a
Neural Stem Cells,0.005590656,0.021443503,0.61,0.39,0.39,0.27325,False,Cpt1a
Endocrine Cells,0.005606557,0.027990567,0.587,0.413,0.413,0.3012,False,Cpt1a
Astrocytes,0.0024516957,0.016399007,0.581,0.419,0.419,0.32083333333333336,False,Cpt1a
Endothelial Cells,-0.0064736935,0.030848378,0.419,0.581,0.419,0.33485714285714285,False,Cpt1a
Medium Spiny Neurons,0.0013133385,0.009582413,0.57,0.43,0.43,0.34675,False,Cpt1a
Myocytes,0.0027646339,0.018721007,0.562,0.438,0.438,0.3568888888888889,False,Cpt1a
Oligodendrocytes,-0.0011617357,0.010302138,0.469,0.531,0.469,0.3681,False,Cpt1a
Microglia,-1.808087e-05,0.018106865,0.488,0.512,0.488,0.37900000000000006,False,Cpt1a
GABAergic Neurons,-0.0012876277,0.019494861,0.496,0.504,0.496,0.3887500000000001,False,Cpt1a
