,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Medium Spiny Neurons,0.02105489,0.009569108,0.978,0.022,0.022,0.022,True,Pdyn
Oligodendrocyte Precursor Cells,0.015304537,0.011267122,0.909,0.091,0.091,0.056499999999999995,False,Pdyn
Neurons,0.01116277,0.013755896,0.789,0.211,0.211,0.10799999999999998,False,Pdyn
Myocytes,0.0095247,0.018736796,0.684,0.316,0.316,0.15999999999999998,False,Pdyn
Excitatory Neurons,0.0057459455,0.012467142,0.673,0.327,0.327,0.19339999999999996,False,Pdyn
Astrocytes,0.004760313,0.016214106,0.639,0.361,0.361,0.2213333333333333,False,Pdyn
Endothelial Cells,-0.007429699,0.031077195,0.407,0.593,0.407,0.24785714285714283,False,Pdyn
GABAergic Neurons,-0.004545711,0.01990848,0.42,0.58,0.42,0.269375,False,Pdyn
Neural Stem Cells,0.0024432568,0.021554057,0.545,0.455,0.455,0.29,False,Pdyn
Endocrine Cells,-0.0030447517,0.02774245,0.461,0.539,0.461,0.3071,False,Pdyn
Microglia,-0.00027946167,0.018080918,0.484,0.516,0.484,0.3231818181818182,False,Pdyn
Oligodendrocytes,4.6918838e-05,0.010348813,0.513,0.487,0.487,0.3368333333333333,False,Pdyn
