,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,-0.02942812,0.018809441,0.057,0.943,0.057,0.057,False,Ctdsp1
Oligodendrocyte Precursor Cells,0.014042773,0.011523047,0.892,0.108,0.108,0.0825,False,Ctdsp1
Neurons,0.010185601,0.013768362,0.77,0.23,0.23,0.13166666666666668,False,Ctdsp1
Endocrine Cells,0.01407757,0.02815455,0.701,0.299,0.299,0.1735,False,Ctdsp1
Excitatory Neurons,0.004766515,0.012476225,0.65,0.35,0.35,0.2088,False,Ctdsp1
Endothelial Cells,-0.007365461,0.030575046,0.407,0.593,0.407,0.24183333333333334,False,Ctdsp1
Microglia,-0.0035081084,0.018197568,0.42,0.58,0.42,0.2672857142857143,False,Ctdsp1
Astrocytes,0.002359577,0.01647776,0.575,0.425,0.425,0.287,False,Ctdsp1
Medium Spiny Neurons,0.0011081765,0.009568666,0.562,0.438,0.438,0.30377777777777776,False,Ctdsp1
Neural Stem Cells,-0.0026539993,0.021165375,0.44,0.56,0.44,0.3174,False,Ctdsp1
Oligodendrocytes,0.0003905493,0.010105339,0.522,0.478,0.478,0.332,False,Ctdsp1
GABAergic Neurons,-0.0011066241,0.019539036,0.499,0.501,0.499,0.34591666666666665,False,Ctdsp1
