,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.01380791,0.011286482,0.893,0.107,0.107,0.107,False,Nfe2l2
Neurons,0.009937697,0.013803182,0.764,0.236,0.236,0.17149999999999999,False,Nfe2l2
Excitatory Neurons,0.004783963,0.01244315,0.65,0.35,0.35,0.23099999999999998,False,Nfe2l2
Astrocytes,0.0054529253,0.016397323,0.649,0.351,0.351,0.261,False,Nfe2l2
Myocytes,-0.0059424043,0.018765613,0.371,0.629,0.371,0.28300000000000003,False,Nfe2l2
Microglia,0.005868002,0.018315349,0.627,0.373,0.373,0.298,False,Nfe2l2
Endothelial Cells,-0.0060684434,0.030883262,0.425,0.575,0.425,0.31614285714285717,False,Nfe2l2
Medium Spiny Neurons,0.0010016958,0.009546091,0.562,0.438,0.438,0.33137500000000003,False,Nfe2l2
Neural Stem Cells,0.0030874168,0.021402007,0.562,0.438,0.438,0.34322222222222226,False,Nfe2l2
Endocrine Cells,0.0034343186,0.028059157,0.548,0.452,0.452,0.3541,False,Nfe2l2
Oligodendrocytes,0.00084037695,0.010265797,0.539,0.461,0.461,0.3638181818181819,False,Nfe2l2
GABAergic Neurons,-0.001100501,0.019487424,0.499,0.501,0.499,0.3750833333333334,False,Nfe2l2
