,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.012932057,0.011595987,0.869,0.131,0.131,0.131,False,Msmo1
Astrocytes,-0.018299531,0.01717659,0.14,0.86,0.14,0.1355,False,Msmo1
Oligodendrocytes,-0.008266752,0.010097111,0.204,0.796,0.204,0.15833333333333333,False,Msmo1
Myocytes,0.008201485,0.018781012,0.668,0.332,0.332,0.20174999999999998,False,Msmo1
Neurons,0.005288338,0.013451723,0.662,0.338,0.338,0.229,False,Msmo1
Endothelial Cells,-0.011101419,0.030791197,0.361,0.639,0.361,0.251,False,Msmo1
Excitatory Neurons,0.004201815,0.0127388965,0.626,0.374,0.374,0.26857142857142857,False,Msmo1
Neural Stem Cells,-0.005037229,0.021245588,0.398,0.602,0.398,0.28475,False,Msmo1
Medium Spiny Neurons,-0.002130068,0.009514843,0.417,0.583,0.417,0.2994444444444444,False,Msmo1
Microglia,-0.0023039698,0.01820783,0.436,0.564,0.436,0.3131,False,Msmo1
Endocrine Cells,0.0025189507,0.027949225,0.541,0.459,0.459,0.32636363636363636,False,Msmo1
GABAergic Neurons,-0.0026985426,0.019792628,0.467,0.533,0.467,0.3380833333333333,False,Msmo1
