,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Astrocytes,-0.034601092,0.01856415,0.025,0.975,0.025,0.025,True,Gpr37l1
Neurons,0.015953688,0.013440211,0.884,0.116,0.116,0.07050000000000001,False,Gpr37l1
Medium Spiny Neurons,0.008396094,0.009494811,0.804,0.196,0.196,0.11233333333333334,False,Gpr37l1
Oligodendrocyte Precursor Cells,0.0071923784,0.011909578,0.727,0.273,0.273,0.15250000000000002,False,Gpr37l1
Excitatory Neurons,0.0068761874,0.012678137,0.709,0.291,0.291,0.1802,False,Gpr37l1
Neural Stem Cells,-0.008515103,0.020952186,0.329,0.671,0.329,0.205,False,Gpr37l1
Endothelial Cells,-0.011277963,0.030464858,0.358,0.642,0.358,0.22685714285714287,False,Gpr37l1
Endocrine Cells,0.008270346,0.02773527,0.62,0.38,0.38,0.246,False,Gpr37l1
Myocytes,0.0013293899,0.0187616,0.542,0.458,0.458,0.26955555555555555,False,Gpr37l1
Microglia,-0.0009841312,0.018434709,0.468,0.532,0.468,0.2894,False,Gpr37l1
GABAergic Neurons,-0.00015887326,0.019812554,0.514,0.486,0.486,0.30727272727272725,False,Gpr37l1
Oligodendrocytes,-0.0005244499,0.009905624,0.488,0.512,0.488,0.3223333333333333,False,Gpr37l1
