,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.014518518,0.011816696,0.894,0.106,0.106,0.106,False,Kcnj10
Myocytes,0.01779395,0.018768562,0.82,0.18,0.18,0.143,False,Kcnj10
Neurons,0.008644377,0.013535366,0.737,0.263,0.263,0.18299999999999997,False,Kcnj10
Endothelial Cells,-0.015371787,0.030562554,0.305,0.695,0.305,0.21349999999999997,False,Kcnj10
Excitatory Neurons,0.0041982103,0.012570774,0.628,0.372,0.372,0.2452,False,Kcnj10
Astrocytes,-0.0050339825,0.016995158,0.395,0.605,0.395,0.27016666666666667,False,Kcnj10
Neural Stem Cells,-0.0027865376,0.021247363,0.439,0.561,0.439,0.2942857142857143,False,Kcnj10
Oligodendrocytes,0.0011121093,0.009357701,0.561,0.439,0.439,0.312375,False,Kcnj10
Microglia,-0.002035483,0.01827599,0.446,0.554,0.446,0.32722222222222225,False,Kcnj10
Medium Spiny Neurons,3.2210617e-05,0.009553147,0.517,0.483,0.483,0.34280000000000005,False,Kcnj10
Endocrine Cells,9.637978e-05,0.027712105,0.511,0.489,0.489,0.3560909090909091,False,Kcnj10
GABAergic Neurons,-0.0012171199,0.019640435,0.497,0.503,0.497,0.3678333333333334,False,Kcnj10
