,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.013692101,0.011269888,0.89,0.11,0.11,0.11,False,Myo1e
Neurons,0.009654757,0.013794278,0.758,0.242,0.242,0.176,False,Myo1e
Endocrine Cells,0.016466627,0.028042022,0.73,0.27,0.27,0.20733333333333334,False,Myo1e
Excitatory Neurons,0.0050909305,0.012466197,0.654,0.346,0.346,0.242,False,Myo1e
Neural Stem Cells,0.0072735413,0.021394618,0.636,0.364,0.364,0.26639999999999997,False,Myo1e
Astrocytes,0.0039774324,0.016326198,0.623,0.377,0.377,0.2848333333333333,False,Myo1e
Microglia,0.0054731346,0.018182551,0.618,0.382,0.382,0.29871428571428565,False,Myo1e
Oligodendrocytes,-0.003642051,0.010176366,0.392,0.608,0.392,0.31037499999999996,False,Myo1e
Endothelial Cells,-0.007531574,0.030887889,0.406,0.594,0.406,0.32099999999999995,False,Myo1e
Medium Spiny Neurons,0.00097292376,0.009547984,0.562,0.438,0.438,0.3327,False,Myo1e
Myocytes,0.001973365,0.018725466,0.552,0.448,0.448,0.3431818181818182,False,Myo1e
GABAergic Neurons,-0.0011444505,0.019562433,0.499,0.501,0.499,0.3561666666666667,False,Myo1e
