,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Oligodendrocyte Precursor Cells,0.013773941,0.011441715,0.888,0.112,0.112,0.112,False,Ifngr1
Neurons,0.009681234,0.013761113,0.759,0.241,0.241,0.1765,False,Ifngr1
Excitatory Neurons,0.0049288566,0.012466506,0.653,0.347,0.347,0.2333333333333333,False,Ifngr1
Astrocytes,0.0037092827,0.016392328,0.614,0.386,0.386,0.27149999999999996,False,Ifngr1
Endothelial Cells,-0.009031873,0.030833278,0.393,0.607,0.393,0.29579999999999995,False,Ifngr1
Microglia,-0.0034898366,0.019659068,0.424,0.576,0.424,0.31716666666666665,False,Ifngr1
Medium Spiny Neurons,0.0008076644,0.009530753,0.555,0.445,0.445,0.3354285714285714,False,Ifngr1
Oligodendrocytes,0.001060115,0.010272987,0.549,0.451,0.451,0.349875,False,Ifngr1
Neural Stem Cells,-0.0018567261,0.02139265,0.453,0.547,0.453,0.3613333333333333,False,Ifngr1
Myocytes,-0.0023967584,0.018824859,0.462,0.538,0.462,0.3714,False,Ifngr1
Endocrine Cells,0.0009979267,0.027947677,0.524,0.476,0.476,0.38090909090909086,False,Ifngr1
GABAergic Neurons,-0.0008988454,0.01953529,0.502,0.498,0.498,0.39066666666666666,False,Ifngr1
