,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,0.05171517,0.018915096,0.998,0.002,0.002,0.002,True,Ptprz1
Neurons,0.013301846,0.013141382,0.841,0.159,0.159,0.0805,False,Ptprz1
Astrocytes,-0.014527245,0.017863605,0.202,0.798,0.202,0.121,False,Ptprz1
Medium Spiny Neurons,0.0071119694,0.009501396,0.768,0.232,0.232,0.14875,False,Ptprz1
Neural Stem Cells,-0.012967727,0.020070475,0.254,0.746,0.254,0.1698,False,Ptprz1
Oligodendrocyte Precursor Cells,-0.006864032,0.013048225,0.284,0.716,0.284,0.18883333333333333,False,Ptprz1
Endothelial Cells,-0.013377562,0.03029097,0.332,0.668,0.332,0.2092857142857143,False,Ptprz1
Excitatory Neurons,0.003331681,0.012750982,0.598,0.402,0.402,0.233375,False,Ptprz1
Microglia,-0.0022313087,0.018486485,0.441,0.559,0.441,0.2564444444444444,False,Ptprz1
GABAergic Neurons,-0.0034151545,0.020141914,0.448,0.552,0.448,0.27559999999999996,False,Ptprz1
Endocrine Cells,-0.0023762377,0.02777074,0.472,0.528,0.472,0.2934545454545454,False,Ptprz1
Oligodendrocytes,-0.0003843221,0.009856467,0.493,0.507,0.493,0.3100833333333333,False,Ptprz1
