,posterior_mean,posterior_sd,p(>0),p(<0),PEP,qvalue,selected_fdr_0.05,feature
Myocytes,-0.16030549,0.01936768,0.0,1.0,0.0,0.0,True,Cryab
Oligodendrocyte Precursor Cells,0.013915161,0.011598988,0.888,0.112,0.112,0.056,False,Cryab
Neural Stem Cells,0.019197306,0.021227343,0.81,0.19,0.19,0.10066666666666667,False,Cryab
Neurons,0.011202967,0.013719286,0.793,0.207,0.207,0.12725,False,Cryab
Medium Spiny Neurons,0.0056774053,0.009543978,0.731,0.269,0.269,0.15560000000000002,False,Cryab
Astrocytes,0.006320708,0.016496953,0.666,0.334,0.334,0.18533333333333335,False,Cryab
Endocrine Cells,0.011386089,0.027865516,0.663,0.337,0.337,0.20700000000000002,False,Cryab
Excitatory Neurons,0.004928894,0.012525592,0.653,0.347,0.347,0.2245,False,Cryab
Oligodendrocytes,0.0024296083,0.0098553635,0.602,0.398,0.398,0.24377777777777776,False,Cryab
Endothelial Cells,-0.006252121,0.030781215,0.423,0.577,0.423,0.2617,False,Cryab
Microglia,-0.00058892637,0.018179938,0.473,0.527,0.473,0.2809090909090909,False,Cryab
GABAergic Neurons,0.00014474701,0.019610748,0.52,0.48,0.48,0.2975,False,Cryab
