,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,delta_log2FC,se_delta,z,p_delta,q_delta,mean_cpm_all,detect_rate_all,mean_cpm_cond_control,mean_cpm_cond_mtDSB,mean_cpm_age_21,mean_cpm_age_60
2610035D17Rik,0.14404080945109524,0.12826269569242016,0.0,0.18139084379475376,0.0,1.0,1.0,211.0621393918891,1.0,207.19752137111428,214.92675741266393,199.97486851562994,222.14941026814827
9630013A20Rik,0.3919249176187232,0.16686138389706465,0.0,0.2359776321435724,0.0,1.0,1.0,116.41071369346452,1.0,104.75423478810956,128.0671925988195,114.7876315988644,118.03379578806465
A1cf,-1.9372559385366352,3.5585754829267136,0.0,5.032585710683344,0.0,1.0,1.0,0.20661596440594357,0.3333333333333333,0.22832088394409286,0.1849110448677943,0.22832088394409286,0.1849110448677943
A2m,0.6045786589964094,0.4686215049164816,0.0,0.6627308878725783,0.0,1.0,1.0,18.08303510793777,1.0,12.62929456356194,23.536775652313604,13.888976900519273,22.27709331535627
Aatf,-0.13162557730822383,0.13242256760982446,0.0,0.18727379107808187,0.0,1.0,1.0,164.59837820427936,1.0,168.72537213819842,160.47138427036032,177.94814910414433,151.24860730441438
Abca1,-0.09517326394249026,0.1475571923838441,0.0,0.2086773826949283,0.0,1.0,1.0,245.97547940668764,1.0,247.25224726929278,244.6987115440825,275.18825889030813,216.7626999230671
Abca13,-1.7912034581760776,3.694329641231315,0.0,5.224571082506256,0.0,1.0,1.0,0.22179793455528185,0.3333333333333333,0.3233560724793462,0.12023979663121757,0.20180067883557495,0.24179519027498877
Abca3,0.08351556322068063,0.09539924959678585,0.0,0.13491491261999056,0.0,1.0,1.0,437.9733688024748,1.0,435.75822703071543,440.18851057423416,450.8683183189207,425.0784192860289
Abca4,-0.10694403572565175,0.9096252745893036,0.0,1.2864044000015438,0.0,1.0,1.0,2.699141422387246,1.0,2.9320306424519704,2.466252202322521,2.790751071334506,2.6075317734399857
Abca7,-0.019386129688075338,0.1630788411668144,0.0,0.23062830891419675,0.0,1.0,1.0,105.75370044422915,1.0,101.6216754122176,109.88572547624068,110.84506425075544,100.66233663770286
Abca8a,-0.40651051016766065,0.5932565802824565,0.0,0.8389915018025329,0.0,1.0,1.0,8.101119938861027,1.0,8.45288628979405,7.7493535879280016,7.1218287927271815,9.08041108499487
Abca8b,0.005025942428041044,0.1557899905840687,0.0,0.22032031756596673,0.0,1.0,1.0,106.59673844114728,1.0,105.3301000047842,107.86337687751033,111.41966093049807,101.7738159517965
Abcb1a,-0.2014620282985121,0.18542382391617027,0.0,0.26222888656932863,0.0,1.0,1.0,84.54800495442768,1.0,90.05934306474575,79.03666684410962,87.25142223350088,81.84458767535449
Abcb1b,-0.10440772195492276,0.3105088863549933,0.0,0.4391258783205976,0.0,1.0,1.0,25.112531407215148,1.0,26.916708757133545,23.308354057296743,26.17330250348512,24.051760310945166
Abcb4,-0.028943990216598235,0.18135978298140834,0.0,0.2564814647613489,0.0,1.0,1.0,76.72604405073507,1.0,79.40682870742864,74.04525939404151,78.78203637974336,74.67005172172681
Abcb8,-0.04709647077370612,0.23130464643035895,0.0,0.3271141680217271,0.0,1.0,1.0,46.58133834213984,1.0,46.76126784342416,46.40140884085551,53.03842714943363,40.12424953484604
Abcc1,0.0068746664393584435,0.17126137725950186,0.0,0.2422001624310827,0.0,1.0,1.0,93.05393512538821,1.0,93.46140217100952,92.6464680797669,95.42829211440493,90.67957813637152
Abcc6,0.27547832284977347,0.8488578461529002,0.0,1.2004662785562457,0.0,1.0,1.0,3.0012505013098125,1.0,3.3421143182915856,2.66038668432804,3.4284271553538255,2.5740738472657996
Abcc8,0.09487250697413156,0.36302686301432957,0.0,0.5133975131806247,0.0,1.0,1.0,23.83535226720926,1.0,23.890513880344145,23.780190654074378,20.043753959836938,27.62695057458158
Abcc9,0.3979400909153353,0.795765547811665,0.0,1.1253824301845123,0.0,1.0,1.0,4.398990857348597,1.0,3.461909929869423,5.33607178482777,3.7892865081174647,5.0086952065797306
Abcd2,-0.153300377619014,0.26225322950847674,0.0,0.37088207394703177,0.0,1.0,1.0,37.196445581585095,1.0,37.73251851461405,36.660372648556155,37.554652393629176,36.83823876954103
Abcd3,0.00987509503976297,0.08435696224514937,0.0,0.11929876008768536,0.0,1.0,1.0,707.3963072128169,1.0,712.5293987485047,702.2632156771291,729.2211616227787,685.5714528028551
Abcf1,0.06786686242125882,0.14766405032619717,0.0,0.2088285026462513,0.0,1.0,1.0,122.73127302662711,1.0,119.86274648483301,125.59979956842123,124.54248753831895,120.92005851493526
Abcg2,-0.08552091641902719,0.13389170526117414,0.0,0.18935146546961354,0.0,1.0,1.0,197.8018734492598,1.0,205.14292905513017,190.46081784338935,195.33379584401416,200.2699510545054
Abhd17c,-0.12457174413527809,0.13274471819573863,0.0,0.18772938080580814,0.0,1.0,1.0,192.7088685184142,1.0,192.75570968472138,192.66202735210697,185.04207383651726,200.3756632003111
Abhd4,-0.023779360764838123,0.10856518871187777,0.0,0.153534362277932,0.0,1.0,1.0,317.3829551395498,1.0,318.47625987079147,316.2896504083082,312.0864724337736,322.679437845326
Abhd5,0.05735292337720864,0.15605208152720454,0.0,0.22069097013232458,0.0,1.0,1.0,128.11282474710444,1.0,128.52426718087835,127.7013823133305,122.75472073006286,133.470928764146
Abi1,-0.051247343576496504,0.08718080208377937,0.0,0.12329227268544538,0.0,1.0,1.0,635.5521728952061,1.0,631.832792044252,639.2715537461603,613.8915582573806,657.2127875330318
Abi3bp,-0.21984191439488426,0.6981453616650191,0.0,0.9873266389745394,0.0,1.0,1.0,4.37590278604718,1.0,4.793787327906489,3.9580182441878713,4.70484199659153,4.046963575502829
Abitram,0.06130734932102919,0.16095850429926448,0.0,0.22762969975930794,0.0,1.0,1.0,114.752325577266,1.0,113.71649537454293,115.7881557799891,108.03962023960305,121.46503091492895
Abl1,-0.050834186035999346,0.11690224631099375,0.0,0.1653247422048875,0.0,1.0,1.0,238.9982495938378,1.0,245.445512545455,232.55098664222066,234.89476524167426,243.10173394600136
Abracl,0.04968563399375411,0.37129890579673025,0.0,0.5250959482720261,0.0,1.0,1.0,19.54062680271251,1.0,19.965861178546735,19.115392426878284,18.35791668110291,20.7233369243221
Abraxas1,-0.06571254429710464,0.23497441986416767,0.0,0.3323040113826559,0.0,1.0,1.0,45.177831386556285,1.0,45.37259479847746,44.98306797463513,46.292608761076195,44.06305401203639
Abraxas2,-0.0565537759067064,0.14666981844701038,0.0,0.20742244643856164,0.0,1.0,1.0,133.20628625278798,1.0,135.90483443797507,130.5077380676008,134.00466773956137,132.40790476601455
Acaa2,-0.013869226520902328,0.21471519529338604,0.0,0.3036531412314943,0.0,1.0,1.0,79.70844693718884,1.0,77.39330773018276,82.02358614419491,67.73294681805696,91.68394705632072
Acaca,-0.08636612610122471,0.10255989378033357,0.0,0.14504159273969178,0.0,1.0,1.0,359.1655525008817,1.0,369.1679968590242,349.1631081427394,355.2354337702446,363.09567123151896
Acacb,-0.12138324539188956,0.5000893880028763,0.0,0.7072331949125286,0.0,1.0,1.0,11.324982218116356,1.0,11.81135833977124,10.838606096461469,10.937927242084967,11.712037194147742
Acan,0.10519150391375312,0.17156141771151173,0.0,0.2426244837075756,0.0,1.0,1.0,84.38341915801514,1.0,82.16189063623064,86.60494767979965,88.7996423598554,79.9671959561749
Ace,0.11488297674701176,0.3000341867026169,0.0,0.42431241601042213,0.0,1.0,1.0,24.17051706422519,1.0,22.56883872664468,25.77219540180569,26.9458987144924,21.39513541395797
Ace2,-0.04066103988922569,0.9524918336299325,0.0,1.3470268691690683,0.0,1.0,1.0,3.1948620047536096,0.9166666666666666,2.759892908036532,3.6298311014706885,2.491371975987565,3.8983520335196555
Acer1,0.007872637399782003,3.558854898878266,0.0,5.032980864511574,0.0,1.0,1.0,0.1654737505402002,0.25,0.11719147352339915,0.21375602755700127,0.20160500460724692,0.12934249647315346
