,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,delta_log2FC,se_delta,z,p_delta,q_delta,mean_cpm_all,detect_rate_all,mean_cpm_cond_control,mean_cpm_cond_mtDSB,mean_cpm_age_21,mean_cpm_age_60
2610035D17Rik,0.21444962515367982,0.18592528896832694,0.0,0.26293806524714475,0.0,1.0,1.0,116.77255196360693,1.0,106.3735243725867,127.17157955462716,108.85367538383336,124.69142854338048
9630013A20Rik,-0.19384470936227483,0.24769815492520386,0.0,0.35029809007001533,0.0,1.0,1.0,241.14978100976683,1.0,231.54987830936048,250.74968371017317,258.55656245279414,223.7429995667396
A1cf,1.4988367726437182,1.2898219640770983,0.0,1.8240837146445354,0.0,1.0,1.0,0.3660137779058173,0.9166666666666666,0.38362264836165566,0.34840490744997893,0.3597104231264628,0.3723171326851719
A2m,0.06192227704666104,0.35655755143083867,0.0,0.5042485250000344,0.0,1.0,1.0,32.679398427226154,1.0,25.533936612661375,39.824860241790944,29.033176770426618,36.325620084025694
Aatf,0.10217153132173612,0.17910423396073033,0.0,0.2532916367457087,0.0,1.0,1.0,163.4298129856594,1.0,153.9654011211084,172.89422485021035,174.60639190362653,152.25323406769226
Abca1,0.734445203167344,0.5175342881243283,0.0,0.7319040092585302,0.0,1.0,1.0,181.86658194550463,1.0,137.82364480989978,225.90951908110955,165.62171089387004,198.11145299713925
Abca13,-2.3516232406554893,2.191350510138831,0.0,3.099037611351535,0.0,1.0,1.0,0.20833329916598228,0.8333333333333334,0.2584391251191136,0.15822747321285094,0.13249253977428888,0.2841740585576757
Abca3,0.11535853944667138,0.11969372542276477,0.0,0.16927248982383525,0.0,1.0,1.0,222.5827618360864,1.0,220.20686533334222,224.9586583388306,217.06912769263656,228.09639597953628
Abca4,0.16982320660989716,0.42033679588699935,0.0,0.5944459975078459,0.0,1.0,1.0,2.604809508901275,1.0,2.628325577092681,2.5812934407098695,2.7363949612032155,2.4732240565993338
Abca7,-0.06284866894327104,0.14325901260971777,0.0,0.20259883856484112,0.0,1.0,1.0,65.51055944944225,1.0,66.23726451542177,64.78385438346272,72.64333055749283,58.377788341391685
Abca8a,-1.1474526508126948,0.9930687879801984,0.0,1.4044113483310081,0.0,1.0,1.0,58.603346813338526,1.0,77.32257018359984,39.884123443077186,74.36830218724113,42.8383914394359
Abca8b,-0.27230308619450877,0.1900504921298233,0.0,0.26877198350567727,0.0,1.0,1.0,72.51046887443437,1.0,81.91409744873285,63.1068403001359,81.89871764192337,63.12222010694538
Abcb1a,-0.1465897397364012,0.1598738146482625,0.0,0.22609571694389521,0.0,1.0,1.0,39.1024022786707,1.0,41.42730392877108,36.77750062857032,38.733225188518084,39.47157936882332
Abcb1b,-0.24187474954954077,0.34314919398472515,0.0,0.4852862440505944,0.0,1.0,1.0,4.806470240846255,1.0,4.853041561615209,4.759898920077301,5.094696817507756,4.518243664184754
Abcb4,0.048848180142190514,0.3028884815138111,0.0,0.4283489984434241,0.0,1.0,1.0,6.911249043756637,1.0,6.838264930989529,6.9842331565237465,6.274823103509445,7.54767498400383
Abcb8,-0.059141848100655564,0.1417208424616634,0.0,0.20042353748022518,0.0,1.0,1.0,53.18443312306519,1.0,53.58984189287708,52.779024353253305,59.81471771370351,46.554148532426886
Abcc1,0.029858455993072734,0.15412066980345862,0.0,0.2179595414780767,0.0,1.0,1.0,67.10872836475774,1.0,65.59574626208797,68.62171046742749,69.36821395676598,64.84924277274949
Abcc6,-0.232678477076963,0.6718237957091993,0.0,0.9501023234169211,0.0,1.0,1.0,1.2048675156008797,1.0,1.2136268772751826,1.196108153926577,1.3353067864736952,1.0744282447280642
Abcc8,0.37637448526597206,0.23332544126629653,0.0,0.32997200348548356,0.0,1.0,1.0,21.255997952697605,1.0,20.747876670155502,21.76411923523972,20.743806522204228,21.768189383190986
Abcc9,-0.10698339361384487,0.5626674696434416,0.0,0.7957319666759068,0.0,1.0,1.0,2.367593642401278,1.0,2.4161674000852216,2.319019884717333,2.376207695610786,2.3589795891917693
Abcd2,-0.003353333155694315,0.17807716234487975,0.0,0.2518391381370444,0.0,1.0,1.0,33.531998958025994,1.0,33.534728362531546,33.52926955352044,31.626496456742043,35.43750145930994
Abcd3,0.06432544838319003,0.13211675258725677,0.0,0.1868413033255892,0.0,1.0,1.0,558.4013455193225,1.0,556.3156065876911,560.4870844509536,538.4829798680286,578.3197111706162
Abcf1,0.12046697696184322,0.12516011952083442,0.0,0.1770031384946016,0.0,1.0,1.0,143.4119873276183,1.0,135.98902113818323,150.83495351705338,142.66129858157817,144.16267607365842
Abcg2,-0.07545340025453512,0.17301679953210097,0.0,0.24468270441668416,0.0,1.0,1.0,47.01199841624183,1.0,47.67358811430318,46.350408718180496,49.49193577746147,44.53206105502221
Abcg8,-1.090899822665614,1.1483490679293118,0.0,1.6240108262041353,0.0,1.0,1.0,0.3140366537926949,0.9166666666666666,0.42407817417570143,0.20399513340968853,0.3770287791546165,0.25104452843077335
Abhd17c,0.12017833295109823,0.10707868086736477,0.0,0.15143212272364773,0.0,1.0,1.0,122.95436649262996,1.0,117.46246582899953,128.4462671562604,115.249240472251,130.65949251300893
Abhd4,-0.07056892639833842,0.10607896477861582,0.0,0.15001831067241636,0.0,1.0,1.0,480.3009363318491,1.0,480.58974625924526,480.0121264044528,472.77477413554044,487.82709852815765
Abhd5,-0.14304057759498448,0.12000107200543324,0.0,0.16970714352939403,0.0,1.0,1.0,294.851247334758,1.0,296.5714451332895,293.1310495362265,299.3024140238021,290.400080645714
Abi1,0.04168494328764203,0.09600305817560023,0.0,0.1357688269012271,0.0,1.0,1.0,472.00628722278594,1.0,454.47745178583864,489.53512265973336,452.9031830841886,491.1093913613834
Abi3bp,-0.3035166677400837,0.3920506622000648,0.0,0.5544433636206846,0.0,1.0,1.0,4.881904328014042,1.0,5.074007414457157,4.689801241570927,4.009542839802648,5.754265816225437
Abitram,0.09992073737878478,0.12990643353685938,0.0,0.18371544014734562,0.0,1.0,1.0,99.89126426425985,1.0,94.99106744655427,104.79146108196541,96.9325814097178,102.84994711880188
Abl1,-0.19005141443731507,0.13795793900778802,0.0,0.19510198838185408,0.0,1.0,1.0,574.3022004948156,1.0,610.8040433626451,537.800357626986,618.1216558338771,530.4827451557541
Abracl,-0.17938695494367443,0.28047464546102097,0.0,0.3966510475127613,0.0,1.0,1.0,10.999480413853469,1.0,11.328221641205701,10.670739186501237,10.608508158914493,11.390452668792443
Abraxas1,-0.03500594074394419,0.1601712154734192,0.0,0.22651630522429278,0.0,1.0,1.0,30.528154364981773,1.0,29.58465733110171,31.471651398861837,32.031198598091216,29.02511013187232
Abraxas2,0.11741884084246035,0.12338771456767494,0.0,0.17449657937182622,0.0,1.0,1.0,97.58982273788791,1.0,92.10257896941259,103.07706650636324,91.38927747765625,103.79036799811956
Acaa2,-0.014724751375202043,0.18454248062449563,0.0,0.26098247893313586,0.0,1.0,1.0,77.06913924036557,1.0,72.57496444538351,81.56331403534762,65.7187419032785,88.41953657745263
Acaca,-0.16213044868871238,0.10809627528143259,0.0,0.1528712185450175,0.0,1.0,1.0,500.403714903683,1.0,522.7698887455167,478.0375410618492,511.9518959846129,488.855533822753
Acacb,0.12201154890721432,0.32858008422427587,0.0,0.4646824114356648,0.0,1.0,1.0,7.445823074786251,1.0,7.129745597817671,7.761900551754831,6.855514985799914,8.036131163772586
Acan,-0.030988623584623825,0.5444568347609533,0.0,0.7699782398456674,0.0,1.0,1.0,2.0984122624273245,1.0,2.1452774054895793,2.0515471193650696,2.1888712746782164,2.0079532501764326
Ace,-0.2899692418853963,0.26504487189290354,0.0,0.37483005246838375,0.0,1.0,1.0,10.562332609401253,1.0,10.681535471181325,10.44312974762118,10.56799779269249,10.556667426110014
Ace2,0.02709024248400007,0.4699285770020634,0.0,0.6645793669430075,0.0,1.0,1.0,2.399033052940601,1.0,2.2966305038042267,2.5014356020769757,2.7503899891296033,2.0476761167515987
Acer1,-0.9604332424592976,1.963337381361058,0.0,2.7765783522348855,0.0,1.0,1.0,0.2620801435755133,0.8333333333333334,0.32136777623909935,0.20279251091192727,0.18936759125099714,0.3347926959000295
Ache,0.11077611593696737,0.16383905593641723,0.0,0.2317034149516854,0.0,1.0,1.0,55.26481276599724,1.0,52.19724426933689,58.33238126265758,58.18852096839573,52.34110456359875
Ackr1,0.08265805060175276,0.18379211570896065,0.0,0.25992130269285735,0.0,1.0,1.0,48.94027777088712,1.0,48.24393036641411,49.63662517536013,49.26331546306983,48.61724007870441
Ackr2,-0.5628014383325024,1.3029128757596382,0.0,1.8425970594898118,0.0,1.0,1.0,0.2699609841579187,1.0,0.2982949297859723,0.24162703852986508,0.25125836001461455,0.2886636083012228
Ackr3,-0.01664389778960385,0.27471558861920564,0.0,0.3885065112205885,0.0,1.0,1.0,13.361301938823024,1.0,13.949589527870186,12.773014349775861,12.963188962919935,13.759414914726113
Ackr4,0.14212181913167107,0.9567044047647248,0.0,1.3529843444003529,0.0,1.0,1.0,0.7923255647677082,1.0,0.7353223961774232,0.8493287333579933,0.6393514614730103,0.9452996680624063
Acly,-0.05668205695315963,0.09074084134905193,0.0,0.12832692849697458,0.0,1.0,1.0,885.7361694195425,1.0,887.8886525716231,883.5836862674619,887.8704011383444,883.6019377007405
Acod1,-0.7213282716714272,1.5487727139717296,0.0,2.1902953771322062,0.0,1.0,1.0,0.22752460918360196,0.9166666666666666,0.22777303892337167,0.22727617944383227,0.2150065191244724,0.24004269924273156
Acot6,0.003211059265941797,0.1739986319577855,0.0,0.2460712251490649,0.0,1.0,1.0,82.04761738684232,1.0,82.29855204331591,81.79668273036874,85.16763636958923,78.9275984040954
Acox1,-0.0016515918483570474,0.08925416305921503,0.0,0.1262244478966016,0.0,1.0,1.0,743.3298722274909,1.0,723.5951030750167,763.0646413799649,746.6442634955706,740.0154809594111
Acp2,0.15990343700962142,0.11370366233524763,0.0,0.16080126136599807,0.0,1.0,1.0,152.00663380392947,1.0,144.23886042947774,159.77440717838124,153.6575980904065,150.3556695174524
Acp5,-0.40937106177112115,0.7267095825463967,0.0,1.0277225475436045,0.0,1.0,1.0,1.0850030018762171,1.0,1.314273070850239,0.8557329329021949,1.1475055612854086,1.0225004424670256
Acr,0.13359367051127197,0.5931261724060525,0.0,0.8388070772150821,0.0,1.0,1.0,2.1055090169354433,1.0,1.9604165674984682,2.250601466372419,2.376911238538542,1.8341067953323449
Acsl1,-0.2465536165584912,0.1514011757370191,0.0,0.2141135960865248,0.0,1.0,1.0,227.49729619493516,1.0,247.03237654130427,207.96221584856593,244.53826797365352,210.45632441621675
Acsl4,0.06076691507515003,0.13539150608723416,0.0,0.191472504138686,0.0,1.0,1.0,255.58370432988193,1.0,255.3263159703761,255.84109268938778,245.72880889205535,265.4385997677086
Acsl6,-0.044492610072637016,0.16270269481936128,0.0,0.23009635764819145,0.0,1.0,1.0,535.8875714579505,1.0,540.8273862134375,530.9477567024636,507.99973621130397,563.7754067045972
Acss1,0.06847686810365188,0.16111890637901358,0.0,0.22785654255592197,0.0,1.0,1.0,56.49408398748273,1.0,54.77348586444128,58.21468211052417,53.03353341262963,59.95463456233582
Acss2,0.008023085524902574,0.1631429662985402,0.0,0.2307189955451723,0.0,1.0,1.0,212.6537434942844,1.0,216.0513462778123,209.25614071075654,236.47845685298546,188.8290301355834
Actc1,0.4952709415342164,1.450593718170922,0.0,2.051449309730533,0.0,1.0,1.0,0.2856551658319282,0.8333333333333334,0.20970430134187393,0.3616060303219824,0.2897150227665808,0.28159530889727563
Actg2,-0.3445995495009739,0.6930130320073834,0.0,0.9800684287661414,0.0,1.0,1.0,1.1343619261708093,1.0,1.2699531084692801,0.9987707438723391,1.1226260640760226,1.1460977882655965
Actl6a,0.10406498633167324,0.15961815210146524,0.0,0.2257341555028237,0.0,1.0,1.0,70.45065852739182,1.0,67.29365683184697,73.60766022293669,70.86358846124266,70.03772859354102
Actl6b,0.08234529554445269,0.17620735744884983,0.0,0.24919483469408724,0.0,1.0,1.0,63.38629881167205,1.0,61.98813272807348,64.78446489527063,62.952618050704736,63.81997957263937
Actn1,-0.20674861045802395,0.1645846574475292,0.0,0.23275785472082583,0.0,1.0,1.0,70.95063702499215,1.0,73.45673980133655,68.44453424864774,70.32906875216533,71.57220529781897
Actn2,-0.38237098630294486,0.3929372666362596,0.0,0.5556972116388114,0.0,1.0,1.0,30.27888731975109,1.0,32.59280619267816,27.964968446824006,31.40726863766245,29.150506001839716
Actr1a,-0.19567709665544433,0.11526084550966453,0.0,0.16300345093035765,0.0,1.0,1.0,167.97174909328433,1.0,171.56684931055273,164.37664887601593,165.8419771816489,170.1015210049198
Actr1b,0.0653565551695656,0.11635898843257488,0.0,0.16455645954536147,0.0,1.0,1.0,227.79490448684786,1.0,225.15240499506194,230.4374039786338,220.84674028036022,234.74306869333552
Actr2,0.00416124512173631,0.0887645349554123,0.0,0.12553200919168475,0.0,1.0,1.0,1137.8247661055577,1.0,1097.362302518334,1178.2872296927817,1085.967653640795,1189.6818785703206
Acvr1,0.10276175833594745,0.14731279887531193,0.0,0.20833175808060614,0.0,1.0,1.0,85.46687955095187,1.0,79.34770732389659,91.58605177800719,81.37731889026357,89.55644021164021
Acvr1b,0.08202686454269799,0.1396489902952512,0.0,0.197493496047253,0.0,1.0,1.0,113.10287434343316,1.0,113.1593628186536,113.04638586821272,108.60475033477685,117.60099835208943
Acvr1c,0.15091732643741812,0.23128573629467217,0.0,0.32708742505137256,0.0,1.0,1.0,18.835569951185917,1.0,18.60376253268107,19.067377369690757,18.750458775055076,18.92068112731675
Acvr2a,0.13875247494267698,0.13249985481739868,0.0,0.1873830916952313,0.0,1.0,1.0,103.75095440425922,1.0,100.84296362861227,106.6589451799062,97.15753596720445,110.344372841314
Acvr2b,-0.028583732019170936,0.15034767059422788,0.0,0.21262371482555964,0.0,1.0,1.0,41.13006028969702,1.0,41.77934458476701,40.48077599462704,41.714504355127026,40.54561622426702
Acvrl1,-0.2505489217339269,0.24998566347576537,0.0,0.35353311568626383,0.0,1.0,1.0,14.833847664275183,1.0,15.094450358699666,14.573244969850698,15.37984969209426,14.287845636456105
Ada,0.8178217608435907,0.28302615836067807,0.0,0.4002594316600263,0.0,1.0,1.0,49.14662052082519,1.0,40.42557748520923,57.86766355644113,40.54398412090142,57.749256920748934
Adad1,3.2833690481390563,2.8593998243572587,0.0,4.043802011853281,0.0,1.0,1.0,0.1258337376656249,0.6666666666666666,0.09836380502853387,0.15330367030271594,0.10350458947963838,0.14816288585161141
Adad2,0.6783885145865616,2.0666006272401622,0.0,2.9226146350517825,0.0,1.0,1.0,0.2162474044596795,0.8333333333333334,0.20857530179749129,0.22391950712186773,0.13336655309839518,0.29912825582096386
Adam10,-0.015296980189505831,0.11952670758702928,0.0,0.16903629093537992,0.0,1.0,1.0,587.5994332773738,1.0,575.967211323857,599.2316552308907,586.8659355947993,588.3329309599483
Adam17,-0.009405999184032478,0.1869987804175801,0.0,0.2644562114137701,0.0,1.0,1.0,65.07079252934606,1.0,63.42961354921648,66.71197150947566,66.07871195043063,64.0628731082615
Adam18,0.09341452798548569,0.275918309347641,0.0,0.39020741518648905,0.0,1.0,1.0,14.99365414526939,1.0,16.638200270812586,13.34910801972619,15.166899700443286,14.820408590095495
Adam28,0.2302078635103704,1.9936445204477362,0.0,2.8194391193679937,0.0,1.0,1.0,0.26768338374159856,0.75,0.26716880788066627,0.2681979596025308,0.1540972817905781,0.3812694856926189
Adamdec1,-0.8993700091300965,1.6884581116184325,0.0,2.3878403609496526,0.0,1.0,1.0,0.19813180611955306,0.8333333333333334,0.24475548573925565,0.15150812649985057,0.18087360649527684,0.21539000574382938
Adamts1,0.4194602255670302,0.656267672293641,0.0,0.928102642704689,0.0,1.0,1.0,416.8268126770062,1.0,334.956327298997,498.6972980550153,372.3293054547017,461.3243198993107
Adamts13,0.6200168308813989,1.2161777315804745,0.0,1.7199350422572526,0.0,1.0,1.0,0.39645872129558546,0.8333333333333334,0.37824366697113504,0.414673775620036,0.4727214792754264,0.32019596331574457
Adamts14,0.35303840773605955,1.1278170317070149,0.0,1.5949741421154273,0.0,1.0,1.0,0.5022131657505816,1.0,0.3775502537292421,0.6268760777719211,0.5502216251953547,0.45420470630580856
Adamts18,-0.49354135697737817,0.6613617699471792,0.0,0.9353067846943757,0.0,1.0,1.0,1.2072530247199003,1.0,1.2333631590459113,1.1811428903938896,1.2152402843857144,1.199265765054086
Adamts20,-0.20792648436107847,0.21945804089596227,0.0,0.3103605378068992,0.0,1.0,1.0,88.2930806337478,1.0,94.53973643096278,82.04642483653282,100.38843503677673,76.19772623071889
Adamts3,0.21305463965104282,0.2702720061400096,0.0,0.38222233661298605,0.0,1.0,1.0,18.014740063626558,1.0,16.946508171002687,19.08297195625043,17.516964535035516,18.5125155922176
Adamts5,-0.24782388919486054,0.38896741236216287,0.0,0.550082989883739,0.0,1.0,1.0,4.7066349455278305,1.0,4.458713217922381,4.954556673133281,4.367818646956212,5.04545124409945
Adamts6,-0.0255194213290672,0.1462719507147432,0.0,0.20685977649555876,0.0,1.0,1.0,45.97044102771022,1.0,44.86707780858495,47.073804246835486,48.137733007687125,43.80314904773332
Adar,0.12915027876696908,0.10665746892164311,0.0,0.15083643907737457,0.0,1.0,1.0,172.02399608129747,1.0,166.15779674710828,177.8901954154867,168.26584816603602,175.78214399655897
Adarb1,0.09999381693829483,0.2190557852563725,0.0,0.30979166242585027,0.0,1.0,1.0,406.6179212906666,1.0,423.3686822605877,389.8671603207454,390.96645808114613,422.269384500187
Adcy1,0.11548702476090937,0.1823464002526102,0.0,0.2578767522871541,0.0,1.0,1.0,404.3442694811893,1.0,412.5420348912373,396.14650407114146,378.4710536230905,430.2174853392882
Adcy2,-0.08028103336405291,0.2184214608957419,0.0,0.30889459231210287,0.0,1.0,1.0,113.7753978411597,1.0,112.52979204569435,115.02100363662503,106.65896399638537,120.89183168593401
Adcy3,0.16163997031592536,0.25160392219995464,0.0,0.3558216791214409,0.0,1.0,1.0,19.720442855311372,1.0,19.09703016141591,20.34385554920684,20.063523794640137,19.377361915982615
Adcy8,-0.0168218455087682,0.16394806234760198,0.0,0.23185757329676848,0.0,1.0,1.0,31.872533463681112,1.0,32.65317413696079,31.091892790401417,30.037516251846345,33.70755067551587
Adcyap1,-0.39979941767787003,0.32834487460456985,0.0,0.46434977480147593,0.0,1.0,1.0,60.27027483745996,1.0,58.11635818184846,62.42419149307144,65.14924625827162,55.39130341664829
Adcyap1r1,0.04559244220413124,0.12771257548319984,0.0,0.18061285633393884,0.0,1.0,1.0,181.12610735337253,1.0,173.82892575483388,188.4232889519112,174.98187474281056,187.2703399639345
Add2,-0.05935447145517983,0.1658881397076985,0.0,0.23460125701146997,0.0,1.0,1.0,399.40709855260525,1.0,403.59791771250184,395.2162793927087,376.1524366141146,422.6617604910959
Adgra2,0.15342819153240672,0.2519387439722677,0.0,0.3562951886128238,0.0,1.0,1.0,8.55026261598027,1.0,7.887641022282099,9.21288420967844,8.698345807163442,8.4021794247971
Adgra3,0.022390848462919836,0.18818745813283105,0.0,0.2661372555599687,0.0,1.0,1.0,35.514654948598185,1.0,35.59355025300969,35.435759644186696,33.100130983978474,37.92917891321792
Adgrb1,0.02134685431354464,0.1483981040333344,0.0,0.209866611354395,0.0,1.0,1.0,648.7471472990063,1.0,665.5964779007926,631.8978166972203,648.1541039311052,649.3401906669077
Adgre1,0.5703858644189782,0.41465815633266173,0.0,0.5864151884342733,0.0,1.0,1.0,5.922612587067512,1.0,4.4628091413812685,7.382416032753755,5.13022462560435,6.715000548530676
Adgre5,-0.11989064783927514,0.24561967856424363,0.0,0.3473586806112735,0.0,1.0,1.0,13.798346638160657,1.0,13.956400228446867,13.640293047874449,12.769313825122106,14.827379451199208
Adgrf1,-1.0893575744536506,1.566365216695846,0.0,2.2151749330807373,0.0,1.0,1.0,0.35370141049684006,0.8333333333333334,0.32552381162366645,0.38187900937001357,0.3302921345692389,0.3771106864244412
Adgrf5,0.04362766018511579,0.24747691593556043,0.0,0.3499852108903359,0.0,1.0,1.0,74.33323441515779,1.0,75.47920358410722,73.18726524620836,72.41321658929358,76.253252241022
Adgrg1,0.361238720180924,0.9030855431038152,0.0,1.2771558230404878,0.0,1.0,1.0,454.6809245020141,1.0,389.280798863132,520.0810501408962,557.8891374998648,351.47271150416344
Adgrg2,0.23844527722605438,0.23185007136073682,0.0,0.3278855153555239,0.0,1.0,1.0,18.092305680612366,1.0,17.549595490805235,18.635015870419497,16.21114635978273,19.973465001441998
Adgrg5,-0.38027051090892,0.8663877407750603,0.0,1.2252572932778756,0.0,1.0,1.0,0.7626474967552114,1.0,0.6978826011798313,0.8274123923305915,0.696871449440728,0.8284235440696949
Adgrg6,-0.37917543655540425,0.3910049180101211,0.0,0.5529644580044933,0.0,1.0,1.0,3.9563873364096893,1.0,4.285783696861613,3.626990975957766,4.255417488232175,3.657357184587205
Adgrg7,-0.858478538791506,4.42627811128621,0.0,6.2597025358161265,0.0,1.0,1.0,0.0631060529547468,0.3333333333333333,0.061434996170851124,0.0647771097386425,0.02149140000137545,0.10472070590811816
Adgrl1,0.07975543200725585,0.11616902125764408,0.0,0.16428780539016866,0.0,1.0,1.0,316.1406227222764,1.0,316.99068270918116,315.29056273537157,313.8900848304209,318.3911606141319
Adgrl2,-0.11977441013706365,0.20366629972220102,0.0,0.2880276432654804,0.0,1.0,1.0,42.678391022118994,1.0,43.1503372529971,42.2064447912409,41.93041409081677,43.42636795342121
Adgrl3,0.23928470114123299,0.11919381202390204,0.0,0.16856550551515156,0.0,1.0,1.0,268.9018494248384,1.0,248.26496320118,289.5387356484968,235.40599229837548,302.3977065513013
Adgrv1,0.6675609481418011,0.48486119069831596,0.0,0.6856972717539259,0.0,1.0,1.0,2.268569571331891,1.0,1.933725665642647,2.603413477021134,2.5821788492305884,1.9549602934331922
Adh5,-0.10614302019635223,0.09316803294746176,0.0,0.1317594957739238,0.0,1.0,1.0,643.0839560538378,1.0,642.9562256222225,643.211686485453,633.7607084738403,652.4072036338354
Adipoq,-0.19485535332416498,1.88844288652943,0.0,2.6706615418969157,0.0,1.0,1.0,0.15510714142854612,0.75,0.18597545722404,0.12423882563305222,0.17528988897067274,0.1349243938864195
Adipor1,-0.043191400799419084,0.11174750122449106,0.0,0.1580348317929793,0.0,1.0,1.0,425.1672996572686,1.0,411.9772263914811,438.35737292305606,415.7218738025033,434.61272551203393
Adm,1.913490591575968,0.5854558726318907,0.0,0.8279596352469951,0.0,1.0,1.0,9.005867458173375,1.0,3.328758804734011,14.68297611161274,6.158932353596588,11.852802562750163
Adora1,0.03422148174645621,0.12951893498950529,0.0,0.1831674344462776,0.0,1.0,1.0,601.5686441560114,1.0,589.8789247910634,613.2583635209592,639.0766167872988,564.0606715247237
Adora2a,-0.36586553263025146,0.37753211608246356,0.0,0.5339110387952336,0.0,1.0,1.0,30.80437597591791,1.0,32.79288438475829,28.815867567077532,33.083237821581804,28.52551413025402
Adora2b,0.26823576197542,0.3466907689607557,0.0,0.4902947874138579,0.0,1.0,1.0,9.55212863927301,1.0,9.571942821108543,9.532314457437476,7.596389495021648,11.50786778352437
Adprhl1,0.4252249812159733,0.4762706156607851,0.0,0.6735483640272661,0.0,1.0,1.0,2.034139377769216,1.0,1.9440145255325227,2.1242642300059096,2.370490770674989,1.6977879848634432
Adra1a,0.2840519500128602,0.1617529872419677,0.0,0.22875326831195295,0.0,1.0,1.0,30.915903458226722,1.0,29.193002821503885,32.63880409494957,29.44982637797835,32.3819805384751
Adra1b,0.3257564986057762,0.19651409913449483,0.0,0.2779129041935335,0.0,1.0,1.0,29.529846095167358,1.0,28.800097021077324,30.2595951692574,29.81449710013878,29.245195090195935
Adra2a,0.03343266793715046,0.2804485871088029,0.0,0.39661419543764137,0.0,1.0,1.0,11.942155165992858,1.0,11.625861319897117,12.258449012088604,11.335417907676254,12.548892424309466
Adrb1,0.02939796636649159,0.17973735823042075,0.0,0.2541870096745725,0.0,1.0,1.0,46.54470540797055,1.0,49.08933514843483,44.00007566750626,43.00989031970132,50.07952049623977
Adrb2,-0.008948884377983222,0.634404472860864,0.0,0.897183409549988,0.0,1.0,1.0,1.8344342538065748,1.0,1.792984415684165,1.8758840919289843,1.7454820609113915,1.9233864467017572
Adrb3,-0.2112900418925414,0.9366158732709685,0.0,1.3245748707137237,0.0,1.0,1.0,0.5162886961697293,1.0,0.5424437618280497,0.49013363051140896,0.5276756809349797,0.5049017114044788
Adtrp,0.24582302182359136,1.1146290892330224,0.0,1.576323575008911,0.0,1.0,1.0,0.4381748137239927,1.0,0.35155602480657094,0.5247936026414145,0.4115416167234895,0.464808010724496
Aebp2,0.069541550661528,0.1551816279705297,0.0,0.21945996290705913,0.0,1.0,1.0,309.93931836794883,1.0,300.0109784155406,319.86765832035707,310.3611788764297,309.5174578594679
Afap1l2,0.032423940892823896,0.2370462382890655,0.0,0.33523400509792084,0.0,1.0,1.0,25.739279303366782,1.0,24.084828920047872,27.39372968668569,27.96268550902121,23.51587309771236
Afdn,-0.19128060529855617,0.14329849226758323,0.0,0.2026546712324323,0.0,1.0,1.0,148.64956319183452,1.0,155.22402864215192,142.07509774151706,159.5228170099518,137.77630937371717
Afg3l2,0.08793427562679362,0.10611108825046625,0.0,0.15006374012197773,0.0,1.0,1.0,196.2767940786661,1.0,189.409828400463,203.14375975686923,185.14274754860296,207.41084060872927
Afp,-0.5102675805915972,1.1717542895444673,0.0,1.6571108080426362,0.0,1.0,1.0,0.3199204555663384,0.9166666666666666,0.37047457755681285,0.269366333575864,0.343868147953653,0.2959727631790237
Ager,0.03602959370766831,0.45825904820949176,0.0,0.6480761610580492,0.0,1.0,1.0,2.1037369486022586,1.0,2.039908052722425,2.1675658444820924,2.33402756778615,1.8734463294183676
Agl,0.04922081479507724,0.12034783671756429,0.0,0.17019754288824215,0.0,1.0,1.0,151.1422747848082,1.0,149.23965755162263,153.04489201799376,148.86578306017782,153.41876650943854
Ago1,0.04333405451005331,0.11516008730675405,0.0,0.1628609573132813,0.0,1.0,1.0,136.84633519634846,1.0,132.86018568970928,140.83248470298767,138.05079494390782,135.64187544878914
Ago2,0.1310602684036227,0.1367917637065009,0.0,0.19345276745466927,0.0,1.0,1.0,83.88989246395694,1.0,80.17376265976075,87.60602226815314,81.61539982762056,86.16438510029332
Ago3,-0.06855753342587677,0.14475763202315697,0.0,0.20471820646416244,0.0,1.0,1.0,246.06397732963043,1.0,253.0213282577939,239.106626401467,249.92535183183395,242.20260282742694
