,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control,mean_cpm_all,detect_rate_all,mean_cpm_cond_control,mean_cpm_cond_mtDSB,mean_cpm_age_21,mean_cpm_age_60
2610035D17Rik,411.5035747520266,-0.1333526642538398,0.1889537070285702,-0.7057425141369499,0.48034827711773354,0.9974253518301344,131.5683342596608,1.0,131.64343409922836,131.4932344200932,129.9971683434047,133.13950017591688
9630013A20Rik,51.188246664830565,0.4166538800619351,0.39630636838095357,1.0513428834467335,0.2931011381722636,0.9974253518301344,13.639799745187617,1.0,12.31238625135058,14.967213239024654,10.712834230376307,16.566765259998927
A1cf,0.07955965987091844,0.5726175653763985,4.450717255244838,0.12865736746175271,0.8976287707963204,,0.012856953382384155,0.08333333333333333,0.0,0.02571390676476831,0.0,0.02571390676476831
A2m,1541.4855821071772,1.322682773328236,0.6428784697120374,2.057438280552001,0.039644086070465025,0.8260533036315264,408.27929970100485,1.0,265.94076836370834,550.6178310383013,319.9185750115184,496.64002439049136
Aatf,300.34975360624907,0.09288846951118804,0.16680541555088535,0.556867228827182,0.5776181465070976,0.9974253518301344,107.37935922332628,1.0,102.7291214710191,112.02959697563342,117.62574810677769,97.13297033987483
Abca1,1407.2702764387286,-0.004865650337789858,0.2090088770532578,-0.023279634847997558,0.9814272163488627,0.9974253518301344,530.1306150950498,1.0,511.5342700203005,548.7269601697994,604.949842372133,455.31138781796676
Abca13,0.7738574382076484,0.020701861092762033,2.321295356691193,0.008918236549730042,0.9928843710710313,,0.22183106480349765,0.5833333333333334,0.17837369361021396,0.2652884359967813,0.19502580220171062,0.24863632740528466
Abca3,913.4399561824363,0.04874870849257443,0.13703384750514647,0.35574209861358247,0.7220337145517282,0.9974253518301344,303.0127020672461,1.0,301.0140909726436,305.0113131618486,310.5254779267197,295.49992620777255
Abca4,16.941236289958372,-1.436368242409656,0.5012692511357469,-2.86546250174974,0.004164005856433046,0.2671708975371349,5.805733917813664,1.0,7.650134522579172,3.9613333130481565,6.11410025883611,5.497367576791217
Abca7,153.53539792572582,0.16290750785416827,0.22128171344680891,0.7361995951523916,0.46160923860549596,0.9974253518301344,53.8068082431548,1.0,52.737267302071956,54.87634918423763,58.00472291372218,49.60889357258741
