,baseMean,log2FC_mtDSB_vs_control,lfcSE_mtDSB_vs_control,stat,pvalue_mtDSB_vs_control,padj_mtDSB_vs_control
2610035D17Rik,297.6157050164439,0.1461526689695962,0.14517086605482282,1.006763085055941,0.3140486381729889,0.9999089513852738
9630013A20Rik,24.582749850388495,0.08430866888651047,0.42972971905928337,0.19618998907282853,0.8444614633605549,0.9999089513852738
A1cf,0.0,,,,,
A2m,734.017820841278,0.6789058488159088,0.47310816470781125,1.434990768411695,0.15128972825544523,0.9999089513852738
Aatf,269.3091626389828,0.15894433228337468,0.1671803690441902,0.950735622801272,0.3417385999582818,0.9999089513852738
Abca1,1383.9687402146046,0.19458829594790683,0.23134152552059126,0.8411299938911612,0.40027511366557267,0.9999089513852738
Abca13,0.4486578904487178,0.8036387842075137,2.9339007923452955,0.273914777999396,0.7841501145710816,0.9999089513852738
Abca3,710.7490668436807,0.007486403974090589,0.1276028472269529,0.058669568405283,0.9532152984647115,0.9999089513852738
Abca4,14.042032081406177,-0.5445355193246226,0.6025329103026653,-0.9037440279421264,0.36613114727188056,0.9999089513852738
Abca7,133.02104433314335,-0.03362954658262025,0.20944399660960072,-0.16056581772217146,0.872435379017444,0.9999089513852738
Abca8a,12.01242758827731,-0.7188395300253227,0.5856828509050567,-1.227352873512514,0.21968999088664687,0.9999089513852738
Abca8b,53.514020634514544,0.386387365080241,0.2974848354831345,1.2988472654504326,0.19399635025335904,0.9999089513852738
Abcb1a,185.9281673202149,-0.005444554983763639,0.24391075313756896,-0.02232191452704357,0.982191167971719,0.9999089513852738
Abcb1b,38.56319330732118,0.0035706570829615336,0.3253257003453744,0.010975637888955067,0.991242883804249,0.9999089513852738
Abcb4,27.511570826707285,0.10608875636678605,0.389771851837114,0.27218167722157793,0.7854823296443592,0.9999089513852738
Abcb8,133.89697027266536,0.1591030275181912,0.20023005954275877,0.7946011097510314,0.4268455726035344,0.9999089513852738
Abcc1,87.25266724191725,-0.02383410446776236,0.22972667682571918,-0.10374983348513749,0.9173678786068238,0.9999089513852738
Abcc6,5.217062797582028,-0.23086044418867807,0.8900738885628819,-0.2593722242109884,0.7953480584493013,0.9999089513852738
Abcc8,31.308501420989852,0.16710083527050099,0.36669617381200703,0.45569287929403934,0.6486108431823567,0.9999089513852738
Abcc9,7.738016425277583,1.086452755499133,0.6895120365657315,1.5756835238300602,0.11509875640000017,0.9999089513852738
Abcd2,494.5806969107139,-0.10332661730883316,0.1893183996443144,-0.5457822245643321,0.585215643379914,0.9999089513852738
Abcd3,1631.732065929702,0.1372361199062624,0.09799624141345226,1.4004222807613063,0.16138690178696014,0.9999089513852738
Abcf1,284.1786882542976,-0.11702886273185258,0.14972847601657732,-0.7816072523098119,0.43444542346062964,0.9999089513852738
Abcg2,139.15925983895679,0.40069803796180453,0.22668464118118314,1.767645288511351,0.07712022178747627,0.9999089513852738
Abcg8,0.628190806922747,-1.4166670859143118,3.049077898429731,-0.4646214800362734,0.6422025471574072,0.9999089513852738
Abhd17c,251.3649653730905,0.07148861380086687,0.1982712179877593,0.3605597147503294,0.7184286091907911,0.9999089513852738
Abhd4,1194.9104942607662,0.05737232298347136,0.1262538371789658,0.45442043002737137,0.6495262505648801,0.9999089513852738
Abhd5,300.8953296053182,-0.003482778302228169,0.14241235307956202,-0.02445559129468518,0.9804892061227981,0.9999089513852738
Abi1,2066.4471199747163,0.023558406147540265,0.09158423244263797,0.25723211866513834,0.7969995908947034,0.9999089513852738
Abi3bp,8.86196262895376,-0.008741889303198557,0.640294827749549,-0.0136529125714224,0.9891068902666015,0.9999089513852738
Abitram,155.5085795103004,0.09058485886902651,0.19181890161271573,0.4722415679968716,0.6367543725099223,0.9999089513852738
Abl1,395.00657231588025,-0.06047071337879508,0.1360583974719804,-0.44444675596923966,0.65671961568434,0.9999089513852738
Abracl,20.494388552466088,-0.14891285567776544,0.43877715991345606,-0.3393815113510851,0.7343223447949235,0.9999089513852738
Abraxas1,114.50983877718743,-0.01938760221615275,0.19975700286229692,-0.09705593264991892,0.9226819762315461,0.9999089513852738
